"week","age_clas","fit_link","se_link","fit","upper","lower"
"12","age_20_39",-4.17908222488494,0.675122716348915,0.0150816165247797,0.0557856366212117,0.00395296851424185
"12","age_40_59",-3.38959072206444,0.626767411522272,0.0326223688908372,0.105641454269911,0.00953575315418765
"12","age_60",-1.83248720547079,0.615803723002158,0.137942242746065,0.354142444474455,0.044612852787772
"13","age_20_39",-3.50516458592143,0.565892243015413,0.0291656393407889,0.0852252506848411,0.00959426591622743
"13","age_40_59",-2.71567308310092,0.50658283223354,0.0620548335484993,0.154138065457167,0.0234572537805555
"13","age_60",-1.15856956650727,0.498200460516693,0.238927299532352,0.459546455995752,0.10386766247541
"14","age_20_39",-1.95231249428022,0.464167207479843,0.124301423076235,0.264253243562243,0.05311858939295
"14","age_40_59",-1.16282099145971,0.403115479231799,0.238155074255869,0.411785272700733,0.122490753196875
"14","age_60",0.39428252513394,0.389662827367423,0.597313203552401,0.763796591837266,0.404911133664235
"15","age_20_39",-4.62901821888637,1.07936805693304,0.00966992044426763,0.0779679524807589,0.00112622809861399
"15","age_40_59",-3.83952671606586,1.04982928597684,0.0210510982213023,0.149329683453205,0.00262725422379664
"15","age_60",-2.28242319947221,1.04310433228537,0.0925891635069696,0.451103143702579,0.0125100763648716
"16","age_20_39",-3.3169874057151,0.702690211783617,0.0349929968931925,0.128800423685298,0.00881568635763382
"16","age_40_59",-2.52749590289459,0.662257722116617,0.0739529541238319,0.230945433866083,0.0207953481545357
"16","age_60",-0.97039238630094,0.654572203069658,0.274802298206274,0.583887341818173,0.0928319544067271
"17","age_0_19",-2.053832862458,0.90011325398858,0.113665664393562,0.436936052316504,0.0207536853607094
"17","age_20_39",-3.10474063707464,0.597139601872304,0.0429121313058336,0.128929021389162,0.0133998696606183
"17","age_40_59",-2.31524913425413,0.542761204565316,0.0898678840706709,0.226229258804334,0.0322713607629765
"17","age_60",-0.758145617660486,0.529453643202183,0.31904900801363,0.574628702501025,0.139787877014214
"18","age_0_19",-2.48864460064342,0.936078582001074,0.0766580796802784,0.350580750052633,0.0126071762232163
"18","age_20_39",-3.53955237526006,0.614482197673477,0.0282075556190576,0.0902498570854703,0.00842144478225385
"18","age_40_59",-2.75006087243955,0.561767042415204,0.0600832124192787,0.164306712201447,0.0203603591868208
"18","age_60",-1.1929573558459,0.554103726112135,0.232730432324743,0.478825196661189,0.0910265380484768
"19","age_20_39",-2.84114019786595,0.550083780877043,0.055141102693259,0.149189433805713,0.01905274025757
"19","age_40_59",-2.05164869504544,0.488335209927081,0.11388589579352,0.254457507240835,0.0461627829663956
"19","age_60",-0.494545178451794,0.484596561650542,0.378823425804387,0.616483270956142,0.187896227475494
"20","age_0_19",-1.55892549154239,0.825968662487047,0.173800886058623,0.523236209012948,0.0387589759528139
"20","age_20_39",-2.60983326615903,0.417269255054151,0.0685082430561962,0.144885109331683,0.0309371490126847
"20","age_40_59",-1.82034176333852,0.335931332807293,0.139392869125114,0.240766991697353,0.0764064886904232
"20","age_60",-0.263238246744876,0.324294519071165,0.434567842697315,0.595162997770695,0.286626063821751
"21","age_20_39",-2.8359704407879,0.412395172295037,0.0554110702131645,0.118034072013321,0.0250683618853892
"21","age_40_59",-2.04647893796739,0.335384596110367,0.114408648785649,0.201698917314256,0.0619632226694037
"21","age_60",-0.489375421373747,0.31669381448279,0.380040713453584,0.535940956854513,0.245499125834066
"22","age_0_19",-1.89780817213362,0.812973017503661,0.130356747194134,0.432450000324598,0.0286438561291034
"22","age_20_39",-2.94871594675026,0.399529173067895,0.0497972345983308,0.104363223381947,0.0230273888074651
"22","age_40_59",-2.15922444392975,0.31370472352151,0.10347237444822,0.177728285265918,0.0580507434088028
"22","age_60",-0.602120927336102,0.299247830408516,0.353858609061884,0.499093684362841,0.231365547057728
"23","age_20_39",-2.83224460029463,0.335932349747698,0.0556064065936193,0.103365236617947,0.0291955346238334
"23","age_40_59",-2.04275309747412,0.228079282948956,0.114786691050908,0.16986356206977,0.0759345116915739
"23","age_60",-0.485649580880471,0.198644274801835,0.380918949384518,0.477924103758197,0.292569296278377
"24","age_0_19",-1.60152741096492,0.785936900964106,0.167768246364514,0.492587140932677,0.0401790433766441
"24","age_20_39",-2.65243518558156,0.319907260385978,0.0658390766802908,0.117884188395787,0.0358380290579813
"24","age_40_59",-1.86294368276105,0.20192000881051,0.134360310568982,0.188604455576267,0.0939115368943127
"24","age_60",-0.305840166167401,0.182861747606827,0.424130430503838,0.514966360065244,0.338146799323935
"25","age_0_19",-1.82385743623387,0.78527846764865,0.138971654665117,0.437011300755046,0.0324704861466707
"25","age_20_39",-2.87476521085051,0.311948977248997,0.053415199967966,0.0952746833970258,0.0293502916830957
"25","age_40_59",-2.08527370803001,0.184642425981269,0.110536399792939,0.15238854609524,0.0791058289598624
"25","age_60",-0.528170191436359,0.15695798150916,0.370943762849562,0.446640409006182,0.301095597752618
"26","age_0_19",-1.72849728016247,0.778511898573424,0.150779895026331,0.457236360095631,0.0360712553764516
"26","age_20_39",-2.77940505477911,0.31013309056111,0.0584472874934341,0.103480312715996,0.0323057409678439
"26","age_40_59",-1.9899135519586,0.186052620774863,0.120266008551457,0.165507352800668,0.0861151839338481
"26","age_60",-0.432810035364953,0.15810976674468,0.393455521083421,0.470885347521557,0.321032789670251
"27","age_0_19",-1.49035477512722,0.782108712539108,0.183868483586235,0.518457271819598,0.0450204884985264
"27","age_20_39",-2.54126254974387,0.300548671070474,0.0730156724393952,0.125629707852461,0.0413933774627676
"27","age_40_59",-1.75177104692336,0.170436740435091,0.147823956465862,0.196092525234713,0.109813792404029
"27","age_60",-0.19466753032971,0.140504106535008,0.451486225009609,0.521571771401835,0.383273754049872
