"dt_evoluca","n.casos"
2020-04-10,1
2020-04-11,2
2020-04-12,1
2020-04-16,1
2020-04-17,3
2020-04-18,1
2020-04-19,3
2020-04-20,6
2020-04-21,3
2020-04-22,2
2020-04-23,2
2020-04-24,4
2020-04-25,4
2020-04-26,2
2020-04-27,1
2020-04-28,2
2020-04-30,4
2020-05-01,6
2020-05-02,4
2020-05-03,5
2020-05-04,4
2020-05-05,7
2020-05-06,3
2020-05-07,2
2020-05-08,11
2020-05-10,3
2020-05-11,4
2020-05-12,4
2020-05-13,3
2020-05-14,7
2020-05-15,3
2020-05-16,2
2020-05-17,2
2020-05-18,1
2020-05-19,12
2020-05-20,5
2020-05-21,4
2020-05-22,4
2020-05-23,2
2020-05-24,1
2020-05-25,5
2020-05-26,2
2020-05-27,1
2020-05-28,4
2020-05-29,1
2020-05-30,1
2020-05-31,2
2020-06-01,3
2020-06-02,3
2020-06-03,3
2020-06-04,1
2020-06-05,1
2020-06-09,1
2020-06-10,1
2020-06-11,2
2020-06-13,1
2020-06-16,1
2020-06-17,2
2020-06-18,1
2020-06-20,2
2020-06-21,1
2020-06-22,2
2020-06-23,1
2020-06-24,1
2020-06-28,1
2020-06-29,2
2020-07-04,1
2020-07-10,1
2020-07-12,1
