"estimate","lower","upper","onset_date","n.reported"
9,9,9,2020-05-30,9
2,2,2,2020-05-31,2
7,7,8,2020-06-01,7
7,7,8,2020-06-02,7
5,5,6,2020-06-03,5
4,4,5,2020-06-04,4
7,7,9,2020-06-05,7
5,5,7,2020-06-06,5
5,5,7,2020-06-07,5
5,5,7,2020-06-08,5
4,4,6,2020-06-09,4
5,5,7,2020-06-10,5
7,7,10,2020-06-11,7
9,9,12,2020-06-12,9
3,3,6,2020-06-13,3
7,6,9,2020-06-14,6
3,3,6,2020-06-15,3
3,2,5,2020-06-16,2
7,6,9,2020-06-17,6
5,4,7,2020-06-18,4
1,0,3,2020-06-19,NA
6,5,9,2020-06-20,5
4,3,7,2020-06-21,3
4,3,8,2020-06-22,3
8,6,11,2020-06-23,6
3,1,7,2020-06-24,1
4,2,8,2020-06-25,2
7,5,12,2020-06-26,5
5,2,9,2020-06-27,2
5,2,9,2020-06-28,2
8,5,13,2020-06-29,5
6,3,11,2020-06-30,2
4,1,9,2020-07-01,NA
5,2,11,2020-07-02,1
5,2,11,2020-07-03,1
4,1,10,2020-07-04,NA
5,1,10,2020-07-05,NA
6,2,12,2020-07-06,1
5,1,11,2020-07-07,NA
5,1,11,2020-07-08,NA
