"Data","estimate","lower","upper","Boletim ultimo","estimate Cumsum","lower Cumsum","upper Cumsum","Boletim Cumsum"
2020-03-15,1,1,1,1,1,1,1,1
2020-03-16,3,3,3,3,4,4,4,4
2020-03-17,4,4,5,4,8,8,9,8
2020-03-18,8,8,9,8,16,16,18,16
2020-03-19,9,9,11,9,25,25,29,25
2020-03-20,17,16,19,16,42,41,48,41
2020-03-21,16,15,19,15,58,56,67,56
2020-03-22,22,20,25,20,80,76,92,76
2020-03-23,41,38,45,38,121,114,137,114
2020-03-24,41,38,46,37,162,152,183,151
2020-03-25,44,40,50,39,206,192,233,190
2020-03-26,60,55,66,53,266,247,299,243
2020-03-27,68,62,75,59,334,309,374,302
2020-03-28,84,78,92,73,418,387,466,375
2020-03-29,85,78,94,72,503,465,560,447
2020-03-30,105,97,115,89,608,562,675,536
2020-03-31,133,124,145,113,741,686,820,649
2020-04-01,135,125,147,113,876,811,967,762
2020-04-02,157,146,170,131,1033,957,1137,893
2020-04-03,192,180,207,160,1225,1137,1344,1053
2020-04-04,209,195,225,172,1434,1332,1569,1225
2020-04-05,213,200,230,174,1647,1532,1799,1399
2020-04-06,209,195,225,168,1856,1727,2024,1567
2020-04-07,235,221,252,188,2091,1948,2276,1755
2020-04-08,240,224,257.025,189,2331,2172,2533.025,1944
2020-04-09,246,229,265,191,2577,2401,2798.025,2135
2020-04-10,293,275,314.025,228,2870,2676,3112.05,2363
2020-04-11,277,259,298,211,3147,2935,3410.05,2574
2020-04-12,345,324,368,262,3492,3259,3778.05,2836
2020-04-13,361,339,386,271,3853,3598,4164.05,3107
2020-04-14,329,307,353,241,4182,3905,4517.05,3348
2020-04-15,381,356,407,278,4563,4261,4924.05,3626
2020-04-16,386,360,414,277,4949,4621,5338.05,3903
2020-04-17,403,376,431,286,5352,4997,5769.05,4189
2020-04-18,437,408,468,307,5789,5405,6237.05,4496
2020-04-19,454,425,486,315,6243,5830,6723.05,4811
2020-04-20,523,491,558,362,6766,6321,7281.05,5173
2020-04-21,499.5,468,534,336,7265.5,6789,7815.05,5509
2020-04-22,603,565,643,405,7868.5,7354,8458.05,5914
2020-04-23,653,613,695,433,8521.5,7967,9153.05,6347
2020-04-24,673,630,717,438,9194.5,8597,9870.05,6785
2020-04-25,712,668,757,459,9906.5,9265,10627.05,7244
2020-04-26,668,624,713,418,10574.5,9889,11340.05,7662
2020-04-27,745,697,796,462,11319.5,10586,12136.05,8124
2020-04-28,807,757,861,492,12126.5,11343,12997.05,8616
2020-04-29,852,800,908,512,12978.5,12143,13905.05,9128
2020-04-30,802,750,857,470,13780.5,12893,14762.05,9598
2020-05-01,891,834,951.025,515,14671.5,13727,15713.075,10113
2020-05-02,943,884,1007,533,15614.5,14611,16720.075,10646
2020-05-03,992,929,1057,547,16606.5,15540,17777.075,11193
2020-05-04,1085,1017,1156,583,17691.5,16557,18933.075,11776
2020-05-05,1159,1086,1233,608,18850.5,17643,20166.075,12384
2020-05-06,1045,974,1120,524,19895.5,18617,21286.075,12908
2020-05-07,1074,1002,1151,521,20969.5,19619,22437.075,13429
2020-05-08,1191,1111,1276,563,22160.5,20730,23713.075,13992
2020-05-09,1207,1126,1296,550,23367.5,21856,25009.075,14542
2020-05-10,1179,1095,1267,514,24546.5,22951,26276.075,15056
2020-05-11,1295,1204,1391,546,25841.5,24155,27667.075,15602
2020-05-12,1348.5,1252,1450,542,27190,25407,29117.075,16144
2020-05-13,1338,1238,1441,508,28528,26645,30558.075,16652
2020-05-14,1393,1290,1503,504,29921,27935,32061.075,17156
2020-05-15,1411,1299,1525.025,479,31332,29234,33586.1,17635
2020-05-16,1463,1346,1586.025,464,32795,30580,35172.125,18099
2020-05-17,1618,1490,1754,481,34413,32070,36926.125,18580
2020-05-18,1777,1637,1925,489,36190,33707,38851.125,19069
2020-05-19,1915,1758,2080,485,38105,35465,40931.125,19554
2020-05-20,1822,1661,1991,402,39927,37126,42922.125,19956
2020-05-21,2177,1988,2378,427,42104,39114,45300.125,20383
2020-05-22,2572,2346,2823,431,44676,41460,48123.125,20814
2020-05-23,2619,2365.975,2884,350,47295,43825.975,51007.125,21164
2020-05-24,3120,2813.975,3449,330,50415,46639.95,54456.125,21494
2020-05-25,4059,3647,4505,329,54474,50286.95,58961.125,21823
2020-05-26,4859,4310,5451.025,258,59333,54596.95,64412.15,22081
2020-05-27,6331,5538.975,7218.025,201,65664,60135.925,71630.175,22282
2020-05-28,7542,6324.975,8945,113,73206,66460.9,80575.175,22395
2020-05-29,7562.5,5579,10152.1,17,80768.5,72039.9,90727.275,22412
