"estimate","lower","upper","Data","Boletim ultimo"
1,1,1,2020-03-15,1
3,3,4,2020-03-16,3
3,3,4,2020-03-17,3
6,6,7,2020-03-18,6
7,7,9,2020-03-19,7
16,15,19,2020-03-20,15
15,13,18,2020-03-21,13
19,17,24,2020-03-22,17
41,37,47,2020-03-23,37
38,35,45,2020-03-24,34
38,34,45,2020-03-25,33
54,49,62,2020-03-26,47
64,58,74,2020-03-27,55
78,70,90,2020-03-28,66
78,70,90,2020-03-29,64
99,90,114,2020-03-30,82
114,104,129,2020-03-31,93
127,116,144,2020-04-01,103
145,132,163,2020-04-02,115
167,152,189,2020-04-03,131
190,173,214,2020-04-04,148
193,177,217,2020-04-05,149
202,184,227,2020-04-06,154
222,203,249,2020-04-07,168
227,208,254,2020-04-08,171
204,186,230,2020-04-09,150
263,241,293,2020-04-10,193
240,219,270,2020-04-11,171
298,272,333,2020-04-12,212
291,265,327,2020-04-13,203
282,257,319,2020-04-14,194
309,282,347,2020-04-15,210
337,308,379,2020-04-16,224
341,311,385,2020-04-17,222
375,341,422,2020-04-18,239
358,324,403,2020-04-19,220
442,403,496,2020-04-20,268
416,376,468,2020-04-21,240
473,429,531,2020-04-22,266
537,487,601,2020-04-23,290
512,464,578,2020-04-24,260
525,471,592,2020-04-25,251
591,531,668,2020-04-26,268
613,550,696,2020-04-27,259
710,638,804,2020-04-28,283
747,669,845,2020-04-29,274
672,594,769,2020-04-30,217
777,686,888,2020-05-01,227
853,749,981,2020-05-02,217
1000,878,1152,2020-05-03,216
1178,1025,1366,2020-05-04,202
1587,1378,1856,2020-05-05,204
1684,1415.975,2006,2020-05-06,123
2789,2291,3381.025,2020-05-07,106
3944,2790.975,5571.025,2020-05-08,31
