Data,27/04/2020,23/04/2020,22/04/2020,20/04/2020,19/04/2020,17/04/2020,16/04/2020,15/04/2020,14/04/2020,13/04/2020,11/04/2020,10/04/2020,08/04/2020,07/04/2020,06/04/2020,05/04/2020,04/04/2020,02/04/2020,30/03/2020,29/03/2020
15/03/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
16/03/2020,"2,93577981651376",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2
17/03/2020,"2,93577981651376",3,3,3,3,3,3,3,2,2,2,2,1,1,1,1,1,2,2,2
18/03/2020,"4,77064220183487",5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4
19/03/2020,"7,33944954128442",7,7,7,7,8,8,7,7,7,7,7,7,7,7,7,7,7,6,6
20/03/2020,"13,2110091743119",12,12,11,11,11,11,10,9,9,9,9,8,8,8,8,8,7,6,6
21/03/2020,"12,4770642201835",12,11,12,12,12,12,12,11,11,11,11,10,10,10,10,10,10,9,9
22/03/2020,"15,7798165137615",15,14,14,14,13,13,13,13,13,13,13,13,13,13,12,12,10,8,8
23/03/2020,"34,1284403669725",31,30,29,29,29,28,27,27,27,27,27,24,20,20,20,18,17,15,12
24/03/2020,"29,3577981651376",29,29,27,27,26,27,26,25,23,23,23,22,20,18,17,15,17,12,12
25/03/2020,"29,3577981651376",29,28,26,27,27,26,26,25,25,25,25,25,24,21,21,20,17,14,13
26/03/2020,"37,4311926605505",36,36,33,32,32,32,31,31,30,29,29,27,28,27,26,25,20,14,14
27/03/2020,"48,4403669724771",43,40,36,35,35,35,33,30,30,29,29,28,27,25,25,23,15,11,11
28/03/2020,"56,1467889908257",54,52,51,51,51,49,44,41,41,39,36,34,33,33,34,31,28,15,13
29/03/2020,"60,5504587155963",54,52,49,48,48,49,48,46,45,46,45,45,42,43,41,37,30,14,7
30/03/2020,"73,0275229357798",71,66,59,57,57,55,52,51,47,46,43,42,36,33,33,33,27,2,
31/03/2020,"83,6697247706422",81,75,73,72,70,67,64,59,55,54,52,46,39,32,27,26,20,,
01/04/2020,"85,5045871559633",82,81,73,70,68,65,61,57,53,53,52,45,36,35,32,29,15,,
02/04/2020,"101,651376146789",100,95,82,82,79,75,71,67,56,54,51,48,36,27,26,26,5,,
03/04/2020,"117,247706422018",110,105,94,91,87,84,77,71,64,63,58,41,35,25,21,17,,,
04/04/2020,"136,146788990826",119,111,103,102,98,92,85,80,75,71,65,49,44,27,11,,,,
05/04/2020,"132,844036697248",128,122,111,107,104,98,90,86,78,71,69,51,42,20,6,,,,
06/04/2020,"128,807339449541",120,115,104,102,93,86,80,73,71,70,64,46,31,5,,,,,
07/04/2020,"139,816513761468",135,123,106,102,99,90,81,71,61,53,50,25,4,,,,,,
08/04/2020,"145,688073394495",130,118,105,105,101,93,79,70,57,53,45,3,,,,,,,
09/04/2020,"121,100917431193",110,97,90,86,79,70,60,50,44,32,22,,,,,,,,
10/04/2020,"150,091743119266",139,122,103,99,87,81,67,58,47,31,3,,,,,,,,
11/04/2020,"139,082568807339",124,111,98,96,86,78,69,54,39,13,,,,,,,,,
12/04/2020,"170,642201834862",151,132,114,109,101,93,78,57,25,,,,,,,,,,
13/04/2020,"177,981651376147",155,140,113,108,96,84,67,37,6,,,,,,,,,,
14/04/2020,"144,587155963303",129,109,93,89,70,52,25,5,,,,,,,,,,,
15/04/2020,"150,091743119266",132,113,87,83,62,41,10,,,,,,,,,,,,
16/04/2020,120,93,73,51,45,33,5,,,,,,,,,,,,,
17/04/2020,"136,880733944954",101,75,44,35,15,,,,,,,,,,,,,,
18/04/2020,"150,825688073395",98,69,28,19,,,,,,,,,,,,,,,
19/04/2020,"118,165137614679",72,50,21,2,,,,,,,,,,,,,,,
20/04/2020,"121,100917431193",79,52,5,,,,,,,,,,,,,,,,
21/04/2020,"106,05504587156",56,34,,,,,,,,,,,,,,,,,
22/04/2020,"107,889908256881",46,6,,,,,,,,,,,,,,,,,
23/04/2020,"94,3119266055046",10,,,,,,,,,,,,,,,,,,
24/04/2020,"55,045871559633",,,,,,,,,,,,,,,,,,,
25/04/2020,"22,7522935779816",,,,,,,,,,,,,,,,,,,
