"Data","estimate Cumsum","lower Cumsum","upper Cumsum","Boletim Cumsum"
2020-03-15,1,1,1,1
2020-03-16,4,4,4,4
2020-03-17,8,8,9,8
2020-03-18,16,16,18,16
2020-03-19,25,25,29,25
2020-03-20,42,41,48,41
2020-03-21,58,56,67,56
2020-03-22,80,76,92,76
2020-03-23,121,114,137,114
2020-03-24,162,152,183,151
2020-03-25,206,192,233,190
2020-03-26,266,247,299,243
2020-03-27,334,309,374,302
2020-03-28,418,387,466,375
2020-03-29,503,465,560,447
2020-03-30,608,562,675,536
2020-03-31,741,686,820,649
2020-04-01,876,811,967,762
2020-04-02,1033,957,1137,893
2020-04-03,1225,1137,1344,1053
2020-04-04,1434,1332,1569,1225
2020-04-05,1647,1532,1799,1399
2020-04-06,1856,1727,2024,1567
2020-04-07,2091,1948,2276,1755
2020-04-08,2331,2172,2533.025,1944
2020-04-09,2577,2401,2798.025,2135
2020-04-10,2870,2676,3112.05,2363
2020-04-11,3147,2935,3410.05,2574
2020-04-12,3492,3259,3778.05,2836
2020-04-13,3853,3598,4164.05,3107
2020-04-14,4182,3905,4517.05,3348
2020-04-15,4563,4261,4924.05,3626
2020-04-16,4949,4621,5338.05,3903
2020-04-17,5352,4997,5769.05,4189
2020-04-18,5789,5405,6237.05,4496
2020-04-19,6243,5830,6723.05,4811
2020-04-20,6766,6321,7281.05,5173
2020-04-21,7265.5,6789,7815.05,5509
2020-04-22,7868.5,7354,8458.05,5914
2020-04-23,8521.5,7967,9153.05,6347
2020-04-24,9194.5,8597,9870.05,6785
2020-04-25,9906.5,9265,10627.05,7244
2020-04-26,10574.5,9889,11340.05,7662
2020-04-27,11319.5,10586,12136.05,8124
2020-04-28,12126.5,11343,12997.05,8616
2020-04-29,12978.5,12143,13905.05,9128
2020-04-30,13780.5,12893,14762.05,9598
2020-05-01,14671.5,13727,15713.075,10113
2020-05-02,15614.5,14611,16720.075,10646
2020-05-03,16606.5,15540,17777.075,11193
2020-05-04,17691.5,16557,18933.075,11776
2020-05-05,18850.5,17643,20166.075,12384
2020-05-06,19895.5,18617,21286.075,12908
2020-05-07,20969.5,19619,22437.075,13429
2020-05-08,22160.5,20730,23713.075,13992
2020-05-09,23367.5,21856,25009.075,14542
2020-05-10,24546.5,22951,26276.075,15056
2020-05-11,25841.5,24155,27667.075,15602
2020-05-12,27190,25407,29117.075,16144
2020-05-13,28528,26645,30558.075,16652
2020-05-14,29921,27935,32061.075,17156
2020-05-15,31332,29234,33586.1,17635
2020-05-16,32795,30580,35172.125,18099
2020-05-17,34413,32070,36926.125,18580
2020-05-18,36190,33707,38851.125,19069
2020-05-19,38105,35465,40931.125,19554
2020-05-20,39927,37126,42922.125,19956
2020-05-21,42104,39114,45300.125,20383
2020-05-22,44676,41460,48123.125,20814
2020-05-23,47295,43825.975,51007.125,21164
2020-05-24,50415,46639.95,54456.125,21494
2020-05-25,54474,50286.95,58961.125,21823
2020-05-26,59333,54596.95,64412.15,22081
2020-05-27,65664,60135.925,71630.175,22282
2020-05-28,73206,66460.9,80575.175,22395
2020-05-29,80768.5,72039.9,90727.275,22412
