"estimate","lower","upper","onset_date","n.reported"
4,4,4,2020-05-10,4
2,2,3,2020-05-11,2
2,2,3,2020-05-12,2
1,1,2,2020-05-13,1
2,2,3,2020-05-14,2
1,1,2,2020-05-15,1
3,3,4,2020-05-16,3
2,2,3,2020-05-17,2
4,4,5,2020-05-18,4
3,3,5,2020-05-19,3
3,3,5,2020-05-20,3
0,0,2,2020-05-21,NA
2,2,4,2020-05-22,2
1,1,3,2020-05-23,1
1,1,3,2020-05-24,1
2,2,4,2020-05-25,2
5,5,8,2020-05-26,5
3,2,5,2020-05-27,2
1,1,4,2020-05-28,1
4,3,6,2020-05-29,3
3,2,6,2020-05-30,2
2,1,5,2020-05-31,1
2,1,5,2020-06-01,1
1,0,4,2020-06-02,NA
3,2,6,2020-06-03,2
1,0,5,2020-06-04,NA
2,1,6,2020-06-05,1
3,1,6,2020-06-06,1
3,1,6,2020-06-07,1
2,0,6,2020-06-08,NA
3,1,7,2020-06-09,1
2,0,6,2020-06-10,NA
3,1,7,2020-06-11,1
2,0,6,2020-06-12,NA
3,1,8,2020-06-13,1
2,0,7,2020-06-14,NA
2,0,7,2020-06-15,NA
2,0,7,2020-06-16,NA
3,1,9,2020-06-17,1
2,0,8,2020-06-18,NA
