"estimate","lower","upper","onset_date","n.reported"
5,5,5,2020-05-09,5
9,9,10,2020-05-10,9
5,5,6,2020-05-11,5
3,3,4,2020-05-12,3
4,4,5,2020-05-13,4
3,3,4,2020-05-14,3
3,3,4,2020-05-15,3
6,6,8,2020-05-16,6
3,3,5,2020-05-17,3
6,6,8,2020-05-18,6
4,4,6,2020-05-19,4
6,6,8,2020-05-20,6
0,0,2,2020-05-21,NA
2,2,4,2020-05-22,2
2,2,4,2020-05-23,2
7,7,10,2020-05-24,7
4,4,7,2020-05-25,4
7,7,10,2020-05-26,7
2,2,5,2020-05-27,2
3,3,6,2020-05-28,3
5,4,7,2020-05-29,4
3,2,6,2020-05-30,2
3,2,6,2020-05-31,2
4,3,7,2020-06-01,3
1,0,4,2020-06-02,NA
5,4,9,2020-06-03,4
2,0,5,2020-06-04,NA
5,3,8,2020-06-05,3
3,1,7,2020-06-06,1
3,1,7,2020-06-07,1
3,1,7,2020-06-08,1
4,2,9,2020-06-09,2
4,1,8,2020-06-10,1
4,1,9,2020-06-11,1
5,2,10,2020-06-12,2
4,1,10,2020-06-13,1
4,0,9,2020-06-14,NA
4,0,10,2020-06-15,NA
4,0,10,2020-06-16,NA
4,0,11,2020-06-17,NA
