"estimate","lower","upper","onset_date","n.reported"
5,5,5,2020-04-23,NA
2,2,3,2020-04-24,5
3,3,4,2020-04-25,2
2,2,3,2020-04-26,3
4,4,5,2020-04-27,2
2,2,3,2020-04-28,4
6,6,8,2020-04-29,2
2,2,4,2020-04-30,6
5,5,7,2020-05-01,2
3,3,5,2020-05-02,5
5,5,7,2020-05-03,3
3,3,5,2020-05-04,5
3,3,5,2020-05-05,3
3,3,5,2020-05-06,3
8,8,10,2020-05-07,3
4,4,6,2020-05-08,8
3,3,5,2020-05-09,4
2,2,4,2020-05-10,3
4,4,6,2020-05-11,2
4,4,6,2020-05-12,4
4,4,6,2020-05-13,4
2,2,4,2020-05-14,4
5,5,7,2020-05-15,2
1,1,3,2020-05-16,5
0,0,2,2020-05-17,1
0,0,2,2020-05-18,NA
1,1,4,2020-05-19,NA
3,3,6,2020-05-20,1
1,0,3,2020-05-21,3
1,0,3,2020-05-22,NA
1,0,3,2020-05-23,NA
2,1,5,2020-05-24,NA
2,1,5,2020-05-25,1
1,0,4,2020-05-26,1
1,0,4,2020-05-27,NA
2,1,6,2020-05-28,NA
1,0,5,2020-05-29,1
1,0,6,2020-05-30,NA
1,0,6,2020-05-31,NA
1,0,6,2020-06-01,NA
