"Data","estimate Cumsum","lower Cumsum","upper Cumsum","Boletim Cumsum"
2020-03-15,1,1,1,1
2020-03-16,4,4,5,4
2020-03-17,7,7,9,7
2020-03-18,13,13,16,13
2020-03-19,20,20,25,20
2020-03-20,36,35,44,35
2020-03-21,51,48,62,48
2020-03-22,70,65,86,65
2020-03-23,111,102,133,102
2020-03-24,149,137,178,136
2020-03-25,187,171,223,169
2020-03-26,241,220,285,216
2020-03-27,305,278,359,271
2020-03-28,383,348,449,337
2020-03-29,461,418,539,401
2020-03-30,560,508,653,483
2020-03-31,674,612,782,576
2020-04-01,801,728,926,679
2020-04-02,946,860,1089,794
2020-04-03,1113,1012,1278,925
2020-04-04,1303,1185,1492,1073
2020-04-05,1496,1362,1709,1222
2020-04-06,1698,1546,1936,1376
2020-04-07,1920,1749,2185,1544
2020-04-08,2147,1957,2439,1715
2020-04-09,2351,2143,2669,1865
2020-04-10,2614,2384,2962,2058
2020-04-11,2854,2603,3232,2229
2020-04-12,3152,2875,3565,2441
2020-04-13,3443,3140,3892,2644
2020-04-14,3725,3397,4211,2838
2020-04-15,4034,3679,4558,3048
2020-04-16,4371,3987,4937,3272
2020-04-17,4712,4298,5322,3494
2020-04-18,5087,4639,5744,3733
2020-04-19,5445,4963,6147,3953
2020-04-20,5887,5366,6643,4221
2020-04-21,6303,5742,7111,4461
2020-04-22,6776,6171,7642,4727
2020-04-23,7313,6658,8243,5017
2020-04-24,7825,7122,8821,5277
2020-04-25,8350,7593,9413,5528
2020-04-26,8941,8124,10081,5796
2020-04-27,9554,8674,10777,6055
2020-04-28,10264,9312,11581,6338
2020-04-29,11011,9981,12426,6612
2020-04-30,11683,10575,13195,6829
2020-05-01,12460,11261,14083,7056
2020-05-02,13313,12010,15064,7273
2020-05-03,14313,12888,16216,7489
2020-05-04,15491,13913,17582,7691
2020-05-05,17078,15291,19438,7895
2020-05-06,18762,16706.975,21444,8018
2020-05-07,21551,18997.975,24825.025,8124
2020-05-08,25495,21788.95,30396.05,8155
