"estimate","lower","upper","onset_date","n.reported"
109,109,109,2020-05-13,109
95,94,102,2020-05-14,94
128,126,136,2020-05-15,126
80,78,86,2020-05-16,78
89,85,95,2020-05-17,85
109,105,116,2020-05-18,104
84,79,91,2020-05-19,78
138,131,148,2020-05-20,126
84,77,93,2020-05-21,72
83,77,93,2020-05-22,71
60,53,69,2020-05-23,48
81,73,91,2020-05-24,65
92,83,103,2020-05-25,72
87,77,99,2020-05-26,65
84,74,97,2020-05-27,60
84,73,97,2020-05-28,58
84,72,98,2020-05-29,56
83,72,98,2020-05-30,54
70,58,85,2020-05-31,41
103,90,121,2020-06-01,66
60,47,74,2020-06-02,29
81,68,97,2020-06-03,45
63,50,79,2020-06-04,29
83,68,102,2020-06-05,43
62,48,79,2020-06-06,26
61,47,77,2020-06-07,25
52,38,69,2020-06-08,17
58,43.9750000000002,77,2020-06-09,20
61,46,82,2020-06-10,22
40,25,58,2020-06-11,6
44,29,63,2020-06-12,10
39,23.9750000000002,58,2020-06-13,6
38,22,59,2020-06-14,6
33,17,55,2020-06-15,3
29,13,53,2020-06-16,1
27,10,53,2020-06-17,NA
26,8,55,2020-06-18,NA
26,7,59,2020-06-19,NA
26,7,63,2020-06-20,NA
26,6,67,2020-06-21,NA
