"Dates","mean","lower","upper"
2020-03-12,1,1,1
2020-03-13,1.0172,1,1
2020-03-14,1.0882,1,2
2020-03-15,2.1706,2,3
2020-03-16,5.3212,5,7
2020-03-17,9.5576,9,11
2020-03-18,18.0478,17,20
2020-03-19,28.7014,27,32
2020-03-20,47.6008,45,51
2020-03-21,63.7418,61,68
2020-03-22,87.1506,83,93
2020-03-23,126.8062,121,134
2020-03-24,169.3502,162,178
2020-03-25,216.8254,208,227
2020-03-26,279.9186,270,292
2020-03-27,350.1592,339,363
2020-03-28,434.6888,422,449
2020-03-29,516.255,501,533
2020-03-30,621.0094,604,639
2020-03-31,750.4438,731,771
2020-04-01,882.903,861,906
2020-04-02,1043.5452,1020,1069
2020-04-03,1228.6716,1202,1257
2020-04-04,1441.2202,1411,1473
2020-04-05,1667.317,1634,1702
2020-04-06,1878.1706,1842,1916
2020-04-07,2124.165,2085,2165
2020-04-08,2352.4286,2310,2397
2020-04-09,2588.1594,2543,2635
2020-04-10,2865.452,2819,2916
2020-04-11,3146.4692,3096,3200
2020-04-12,3483.771,3429,3542
2020-04-13,3844.752,3786,3908
2020-04-14,4183.851,4121,4252
2020-04-15,4572.9002,4506,4645.025
2020-04-16,4970.0934,4899,5047
2020-04-17,5382.3764,5306.975,5465
2020-04-18,5834.9182,5754.975,5924
2020-04-19,6344.7046,6258,6441
2020-04-20,6905.6646,6814,7009.025
2020-04-21,7448.1494,7349.975,7560
2020-04-22,8110.8364,8005,8231
2020-04-23,8816.189,8702,8945
2020-04-24,9573.307,9450.975,9712
2020-04-25,10370.6006,10241,10517.025
2020-04-26,11177.7244,11039,11334
2020-04-27,12011.9328,11865,12181
2020-04-28,12939.4826,12783,13120
2020-04-29,13905.905,13741.975,14097
2020-04-30,14885.9662,14709.975,15090.025
2020-05-01,15885.591,15698,16104
2020-05-02,16897.269,16700,17126.025
2020-05-03,17971.3696,17759.975,18215.025
2020-05-04,19084.7732,18862.975,19343.025
2020-05-05,20269.3098,20034,20541
2020-05-06,21380.2144,21136.975,21663
2020-05-07,22515.9732,22260,22816
2020-05-08,23727.1484,23459,24042
