"Dates","mean","lower","upper"
2020-03-12,1,1,1
2020-03-13,1.0086,1,1
2020-03-14,1.091,1,2
2020-03-15,2.2042,2,3
2020-03-16,5.3616,5,7
2020-03-17,9.5648,9,11
2020-03-18,17.8502,17,20
2020-03-19,28.3036,27,31
2020-03-20,47.0114,45,50
2020-03-21,62.9306,60,67
2020-03-22,85.3632,82,90
2020-03-23,123.3972,119,129
2020-03-24,163.272,158,170
2020-03-25,207.9662,201,216
2020-03-26,268.9866,261,279
2020-03-27,337.3802,327,349
2020-03-28,420.064,408,434
2020-03-29,499.36,486,515
2020-03-30,603.2496,588,622
2020-03-31,730.7312,712.975,752
2020-04-01,859.9474,839,884
2020-04-02,1014.3794,990,1042
2020-04-03,1198.708,1170,1231
2020-04-04,1406.0226,1374,1443
2020-04-05,1627.1916,1591,1669
2020-04-06,1836.45,1795,1884
2020-04-07,2078.5174,2033,2133
2020-04-08,2302.1408,2252,2362
2020-04-09,2532.072,2478,2597
2020-04-10,2809.2084,2751,2880
2020-04-11,3084.2342,3021,3161
2020-04-12,3414.5538,3345,3501
2020-04-13,3767.3158,3692,3861
2020-04-14,4092.7764,4013,4195
2020-04-15,4475.5378,4388,4586
2020-04-16,4866.4864,4772,4986
2020-04-17,5276.4448,5175,5405.025
2020-04-18,5720.2662,5611,5859
2020-04-19,6223.6166,6105,6376
2020-04-20,6767.9566,6641,6932
2020-04-21,7307.7782,7171,7486
2020-04-22,7958.7106,7811,8153
2020-04-23,8646.355,8486,8857
2020-04-24,9382.463,9208,9608.025
2020-04-25,10158.8504,9972,10404
2020-04-26,10945.9142,10745.975,11209
2020-04-27,11764.5058,11549.975,12049
2020-04-28,12672.8032,12439.975,12977
2020-04-29,13609.2202,13361,13935
2020-04-30,14559.3722,14296.975,14906
2020-05-01,15534.0332,15253,15902
2020-05-02,16513.042,16217,16903.025
2020-05-03,17555.5982,17241.975,17969
2020-05-04,18641.1508,18310,19081
2020-05-05,19793.5746,19442,20257.025
2020-05-06,20870.8316,20503,21359.025
2020-05-07,21967.4084,21580,22480
2020-05-08,23131.2782,22724,23671
2020-05-09,24305.5102,23876,24874
2020-05-10,25474.1874,25026,26068.025
2020-05-11,26590.1676,26120.975,27210.025
2020-05-12,27729.1508,27241.975,28375.025
2020-05-13,28886.8882,28377,29559
2020-05-14,30098.8874,29568,30798
2020-05-15,31228.3304,30675,31951
2020-05-16,32373.2298,31799,33122.025
2020-05-17,33547.3842,32953.975,34321
2020-05-18,34747.0194,34129,35549.025
2020-05-19,35940.4132,35297,36769
2020-05-20,37077.1942,36417,37933.025
2020-05-21,38266.6734,37583,39152.025
2020-05-22,39549.5666,38845,40462
2020-05-23,40698.5446,39967,41635.025
2020-05-24,41773.7584,41021,42734
2020-05-25,43050.6612,42277,44036.05
2020-05-26,44176.4232,43382,45194
2020-05-27,45358.3236,44546,46399.025
2020-05-28,46511.9162,45671,47581
2020-05-29,47732.2368,46872.975,48825.025
2020-05-30,48868.5134,47983.975,49992.05
2020-05-31,49951.977,49049.975,51107.025
2020-06-01,51155.5496,50228,52338
2020-06-02,52333.9612,51377.95,53547.025
2020-06-03,53496.1112,52521,54736.025
2020-06-04,54657.1888,53657,55922
2020-06-05,55757.8202,54734.975,57051.05
2020-06-06,56965.9108,55921.925,58293.1
2020-06-07,58016.8228,56950.975,59365
2020-06-08,59152.9424,58068.975,60531.05
2020-06-09,60265.114,59154,61668.025
2020-06-10,61418.5058,60287.95,62853
2020-06-11,62551.0662,61398.975,64014.05
2020-06-12,63721.3624,62546.95,65213.05
2020-06-13,64902.2974,63704.975,66422.05
2020-06-14,66027.5322,64810,67584.025
2020-06-15,67221.0518,65978.975,68800.05
2020-06-16,68488.9558,67222,70104.025
2020-06-17,69727.7858,68436.975,71366.125
2020-06-18,70910.7682,69598,72580
2020-06-19,72085.7576,70742.975,73780.05
2020-06-20,73285.7178,71914.975,75012.1
2020-06-21,74532.8086,73146,76297.05
2020-06-22,75828.6926,74416.875,77622
2020-06-23,77070.2836,75622.975,78878
2020-06-24,78383.7068,76904.975,80225.025
2020-06-25,79677.9956,78173.975,81552.025
2020-06-26,80884.6276,79356.975,82792.025
2020-06-27,82187.083,80624.975,84127.025
2020-06-28,83576.7776,81992.975,85550.05
2020-06-29,85059.4066,83436.875,87064.075
2020-06-30,86464.0644,84810.975,88512.025
2020-07-01,87918.1452,86240,90002.1
2020-07-02,89501.4474,87775,91632.025
2020-07-03,90897.762,89145.975,93066.1
2020-07-04,92439.6984,90642,94644.025
2020-07-05,94133.1586,92310.875,96384.025
2020-07-06,95831.6122,93959.95,98128.025
2020-07-07,97555.3524,95638,99867.025
2020-07-08,99411.1666,97454.95,101785.175
2020-07-09,101326.4496,99330.975,103754.025
2020-07-10,103241.4502,101197,105732
2020-07-11,105409.2984,103302.975,107959.05
2020-07-12,108044.639,105860.9,110674.05
2020-07-13,111097.2328,108813,113863.025
2020-07-14,113100.2156,110747.975,115928.025
2020-07-15,114544.5792,112059,117488.025
