"Dates","mean","lower","upper"
2020-03-12,1,1,1
2020-03-13,1.0582,1,2
2020-03-14,1.134,1,2
2020-03-15,2.2276,2,3
2020-03-16,5.3624,5,7
2020-03-17,9.5538,9,11
2020-03-18,17.8166,17,20
2020-03-19,28.2246,27,31
2020-03-20,46.8556,45,50
2020-03-21,62.6412,60,66
2020-03-22,84.6914,81,89
2020-03-23,123.1578,119,128
2020-03-24,161.9086,157,168
2020-03-25,205.169,200,212
2020-03-26,264.092,258,272
2020-03-27,329.6514,322,339
2020-03-28,408.7898,400,419
2020-03-29,484.9134,475,496
2020-03-30,585.4884,574,598
2020-03-31,711.6306,699,726
2020-04-01,835.4528,821,851
2020-04-02,984.24,968,1002
2020-04-03,1163.7958,1146,1183
2020-04-04,1367.9908,1348,1390
2020-04-05,1581.5932,1560,1606
2020-04-06,1781.2928,1757,1808
2020-04-07,2016.2734,1990,2045
2020-04-08,2232.2964,2204,2264
2020-04-09,2459.7302,2430,2493
2020-04-10,2734.8218,2702,2771
2020-04-11,3001.8234,2967,3041
2020-04-12,3329.5472,3291,3371
2020-04-13,3673.1718,3632,3719
2020-04-14,3991.3276,3948,4041
2020-04-15,4368.2072,4321,4421
2020-04-16,4759.6298,4710,4816
2020-04-17,5163.7902,5111,5225
2020-04-18,5601.9972,5547,5666
2020-04-19,6094.5398,6034,6164
2020-04-20,6636.9804,6572,6710
2020-04-21,7169.333,7100,7247
2020-04-22,7810.7702,7736,7896
2020-04-23,8494.1472,8414,8584
2020-04-24,9228.086,9142,9326
2020-04-25,10007.893,9915,10115
2020-04-26,10804.3788,10704,10922
2020-04-27,11626.8944,11519,11753.025
2020-04-28,12540.4642,12423,12677.025
2020-04-29,13490.9088,13366,13640
2020-04-30,14455.776,14323,14617
2020-05-01,15438.7432,15298,15608
2020-05-02,16428.2814,16279,16607
2020-05-03,17496.2378,17336,17686.025
2020-05-04,18598.7182,18429,18797
2020-05-05,19770.915,19591,19983
2020-05-06,20884.2112,20694,21106
2020-05-07,22006.279,21805,22242
2020-05-08,23200.8318,22992.975,23444.025
2020-05-09,24418.5386,24202,24674
2020-05-10,25628.443,25400,25895.025
2020-05-11,26833.4524,26596.975,27117
2020-05-12,28090.629,27842.975,28384
2020-05-13,29339.0164,29080,29645
2020-05-14,30606.1752,30337,30919.025
2020-05-15,31779.6386,31501,32106.025
2020-05-16,32971.6464,32686,33311
2020-05-17,34181.7354,33884,34531
2020-05-18,35423.5456,35114,35783
2020-05-19,36671.673,36352,37044
2020-05-20,37862.1684,37533,38248
2020-05-21,39095.8376,38758,39488.05
2020-05-22,40421.419,40071,40829
2020-05-23,41627.372,41264,42054
2020-05-24,42742.9314,42372.975,43182
2020-05-25,44073.1656,43689.975,44523
2020-05-26,45238.3636,44849.95,45698
2020-05-27,46458.5444,46063.95,46934
2020-05-28,47671.4164,47266.95,48163.05
2020-05-29,48947.5188,48532,49452.025
2020-05-30,50135.2616,49707.975,50648
2020-05-31,51268.4412,50827.975,51793.025
2020-06-01,52524.097,52071,53061
2020-06-02,53741.6398,53281,54296.025
2020-06-03,54936.534,54463.975,55506.05
2020-06-04,56156.9396,55676.975,56738
2020-06-05,57313.6346,56823,57908
2020-06-06,58572.1002,58067,59177.025
2020-06-07,59679.9094,59164,60298.025
2020-06-08,60875.7852,60349,61505.025
2020-06-09,62044.2496,61508.975,62686.05
2020-06-10,63273.7268,62728,63930
2020-06-11,64469.8038,63916.975,65142.025
2020-06-12,65699.2488,65135.975,66384.05
2020-06-13,66936.2248,66364.975,67636.05
2020-06-14,68116.6096,67524.95,68829.05
2020-06-15,69369.7086,68769.95,70098.025
2020-06-16,70684.165,70077.975,71420.15
2020-06-17,71997.3944,71374.95,72745.025
2020-06-18,73223.4274,72596.975,73995.025
2020-06-19,74452.6176,73819.975,75243.025
2020-06-20,75717.0222,75074.95,76525.025
2020-06-21,77019.8226,76362.85,77838.025
2020-06-22,78369.7066,77698,79203.025
2020-06-23,79644.0312,78957,80492
2020-06-24,80991.5786,80299,81855.05
2020-06-25,82306.8086,81596.975,83186.075
2020-06-26,83584.2826,82866,84480.05
2020-06-27,84930.5782,84202,85851
2020-06-28,86346.5048,85604,87281.025
2020-06-29,87873.7972,87113,88831.025
2020-06-30,89354.1732,88577,90327
2020-07-01,90846.383,90056,91846.025
2020-07-02,92487.9688,91682.875,93515.025
2020-07-03,93972.9516,93153.975,95019.025
2020-07-04,95565.2166,94721,96630
2020-07-05,97317.8564,96456.975,98407
2020-07-06,99098.3146,98217.95,100217.1
2020-07-07,100898.2772,99994.95,102045.15
2020-07-08,102797.1956,101864.925,103985
2020-07-09,104802.2548,103841,106021.075
2020-07-10,106721.2866,105749,107962.025
2020-07-11,108069.1508,107073,109313.025
2020-07-12,110460.7442,109441.95,111755.075
2020-07-13,113163.1388,112097.95,114510.025
2020-07-14,116072.1886,114945.9,117450
2020-07-15,119585.777,118382.725,121051.025
2020-07-16,124215.7,122896.9,125808.05
2020-07-17,131596.1788,130011,133491.175
2020-07-18,147106.126,144310.9,150278.1
