"atraso","mean","lower","upper"
0,0.0118034353158662,0.0111891540042236,0.0123710045555985
1,0.0332914614313583,0.0322703209344156,0.0343994668166492
2,0.0483355086359589,0.0470345819181683,0.0495451410474896
3,0.0489514506499299,0.0476803950833053,0.0501806839995117
4,0.0461845276991079,0.0446688660017796,0.0476515569000548
5,0.0374411369183128,0.03633769017636,0.0385785244303086
6,0.0308184660329466,0.0296764664864805,0.0319541097199667
7,0.0274564483812495,0.0264946923220367,0.0283917376759696
8,0.0240391814465909,0.0230895507345848,0.0250121754558651
9,0.0215617842283887,0.020667061052185,0.0226062542910263
10,0.0195117656008367,0.0186780034216501,0.0203827551095402
11,0.0184610986086179,0.0177069328224513,0.0191876563709321
12,0.0168929500544942,0.0160844583503742,0.0177179150417433
13,0.0153217521745312,0.0144405963347419,0.0160693428313483
14,0.0151502683407053,0.0143829732222117,0.015925914842646
15,0.0146341708398075,0.0139508330200587,0.0154084235430247
16,0.0137320427508535,0.0129783648446227,0.0146251206738537
17,0.014145943212938,0.013451214039611,0.0147313575851113
18,0.0140357151528623,0.0132929872371786,0.0148082037929059
19,0.0121890057072563,0.011582170750768,0.0129430210044394
20,0.0113617782960746,0.0106058644594466,0.0122885207415784
21,0.0111714096575083,0.0105186108356361,0.0118410514215244
22,0.0122809835535211,0.0114989171276306,0.013059857904847
23,0.0117640345438897,0.0111129496317744,0.0123898840477584
24,0.0115264160072698,0.0108218814665768,0.0123754532640856
25,0.0101843778283856,0.00955987766679265,0.0108913888509113
26,0.0100723505728846,0.00933107643504649,0.0107754845736794
27,0.00966970526680263,0.00896384305333161,0.0104875463759708
28,0.00825806801077307,0.00769434403634406,0.00881329476744507
29,0.00836686935384343,0.00785999903862924,0.00886811671942131
30,0.0082346023290279,0.00759056842652688,0.00894377428944574
31,0.00764234092548952,0.00703672035269929,0.00825222857964445
32,0.00763863930536275,0.00713038624017166,0.00819396318562956
33,0.00761007755887744,0.006851273889639,0.00838550503384216
34,0.00810974415538971,0.00749986081786468,0.00883429038063667
35,0.00693705006982028,0.00643580413363018,0.00745713003757151
36,0.00659250673594834,0.00583327602384013,0.00738544971453012
37,0.00774681075335542,0.00718787050172995,0.00841320694473154
38,0.00769864536147548,0.00707805664692228,0.0084386669155891
39,0.00715055230159101,0.00638657850159779,0.00777871069771368
40,0.00627547675595012,0.00582650139466026,0.00690488324910137
41,0.00581024517122005,0.00533677425341119,0.00635031870146247
42,0.00674417008432938,0.00611775614462921,0.00733306261572391
43,0.00733340296715085,0.00666892581737251,0.00796675532190379
44,0.00822093534373459,0.00762294261561918,0.0089699452044404
45,0.00686199428682512,0.00629220095817761,0.00740285808544172
