"estimate","lower","upper","onset_date","n.reported"
1,1,1,2020-03-12,1
0,0,1,2020-03-13,NA
0,0,1,2020-03-14,NA
1,1,2,2020-03-15,1
3,3,4,2020-03-16,3
4,4,5,2020-03-17,4
8,8,10,2020-03-18,8
10,10,12,2020-03-19,10
19,18,21,2020-03-20,18
17,15,21,2020-03-21,15
24,21,28,2020-03-22,21
41,38,46,2020-03-23,37
42,38,48,2020-03-24,37
47,43,53,2020-03-25,41
64,59,71,2020-03-26,56
72,66,79,2020-03-27,62
86,80,94,2020-03-28,75
84,78,93,2020-03-29,71
110,103,120,2020-03-30,94
138,130,149,2020-03-31,118
138,129,150,2020-04-01,115
167,156,179,2020-04-02,138
200,189,214,2020-04-03,166
228,215,243,2020-04-04,188
239,226,254,2020-04-05,196
224,211,239,2020-04-06,182
262,248,278,2020-04-07,215
242,228,258,2020-04-08,196
255,240,271,2020-04-09,206
308,291,326,2020-04-10,249
301,285,319,2020-04-11,240
367,350,387,2020-04-12,295
385,366,406,2020-04-13,308
358,339.975,378,2020-04-14,283
422,402,445,2020-04-15,336
439,419,463,2020-04-16,348
454,433,477,2020-04-17,358
492,470,517,2020-04-18,388
553,529,580,2020-04-19,435
609,584,637,2020-04-20,479
600,574,628,2020-04-21,468
720,692,752,2020-04-22,564
768,738,802,2020-04-23,599
825,794,859,2020-04-24,642
876,843,913,2020-04-25,681
896,864,933,2020-04-26,694
926,891,963,2020-04-27,714
1027,991,1068,2020-04-28,792
1070,1034,1112,2020-04-29,822
1087,1049,1130,2020-04-30,831
1107,1068,1150,2020-05-01,844
1117,1077,1160,2020-05-02,848
1205,1165,1251,2020-05-03,913
1243,1201,1290,2020-05-04,938
1320,1278,1370,2020-05-05,995
1256,1214,1304,2020-05-06,942
1267,1225,1314,2020-05-07,946
1348,1301,1397,2020-05-08,1004
1375,1328,1427,2020-05-09,1020
1365,1319,1416,2020-05-10,1009
1360,1314,1411.025,2020-05-11,1001
1417,1369,1472,2020-05-12,1039
1407,1359,1461,2020-05-13,1024
1427,1380,1482,2020-05-14,1035
1323,1276,1376,2020-05-15,952
1346,1299,1399,2020-05-16,963
1368,1319,1424,2020-05-17,972
1404,1353,1460,2020-05-18,992
1408,1358,1467,2020-05-19,991
1343,1294,1400,2020-05-20,937
1392,1340,1449,2020-05-21,963
1494,1440.975,1555,2020-05-22,1030
1361,1309,1419.025,2020-05-23,929
1261,1210,1314,2020-05-24,851
1500,1445,1561.025,2020-05-25,1013
1316,1264,1373,2020-05-26,877
1377,1322,1436,2020-05-27,915
1369,1314.975,1430,2020-05-28,902
1439,1382,1501,2020-05-29,941
1341,1287,1400,2020-05-30,867
1279,1225,1339,2020-05-31,819
1416,1357,1479.025,2020-06-01,904
1374,1317,1437,2020-06-02,867
1348,1292,1410,2020-06-03,842
1375,1317,1441,2020-06-04,853
1306,1247,1372,2020-06-05,797
1420,1357,1487,2020-06-06,862
1251,1193,1314,2020-06-07,747
1348,1288,1416,2020-06-08,803
1318,1260,1387,2020-06-09,775
1388,1324,1456,2020-06-10,809
1350,1286,1420,2020-06-11,776
1386,1323,1457,2020-06-12,789
1394,1329.975,1467,2020-06-13,786
1332,1266,1403,2020-06-14,740
1413,1346,1488,2020-06-15,777
1480,1409,1557,2020-06-16,805
1479,1409,1557.025,2020-06-17,795
1382,1314,1458,2020-06-18,731
1385,1313,1463,2020-06-19,723
1425,1353,1504,2020-06-20,734
1469,1395,1550,2020-06-21,745
1523,1444,1605,2020-06-22,761
1438,1363,1522,2020-06-23,702
1520,1439,1607,2020-06-24,732
1484,1403,1569.025,2020-06-25,698
1443,1363,1531,2020-06-26,662
1520,1436,1612.025,2020-06-27,682
1598,1510,1694,2020-06-28,701
1723,1628,1822,2020-06-29,741
1670,1576,1773,2020-06-30,697
1684,1589,1788,2020-07-01,681
1852,1746,1962,2020-07-02,732
1678,1580,1782.025,2020-07-03,635
1796,1690,1912,2020-07-04,660
1978,1862.975,2100.025,2020-07-05,703
2010,1891,2140.025,2020-07-06,685
2034,1905,2169,2020-07-07,661
2148,2017,2292,2020-07-08,664
2270,2131,2426,2020-07-09,665
2210,2066,2372,2020-07-10,599
2327,2168,2497.025,2020-07-11,580
2763,2575,2958,2020-07-12,627
3075,2860,3304,2020-07-13,612
3326,3083,3582,2020-07-14,545
4061,3752,4391,2020-07-15,498
5402,4950.975,5902,2020-07-16,426
8711,7862,9644.025,2020-07-17,323
17919,15344,20749.1,2020-07-18,211
