"","atraso","mean","lower","upper"
"Beta 0",0,0.0915425483589742,0.0891625514877084,0.0937951678104944
"Beta 1",1,0.0796371221072845,0.0775909050104758,0.0816201674667516
"Beta 2",2,0.0467419243199295,0.0453986281713388,0.0480892496393228
"Beta 3",3,0.0374240915017766,0.0361555429354135,0.0386553256034923
"Beta 4",4,0.0313107277969211,0.0302833070094182,0.0324289219579062
"Beta 5",5,0.0250986046804538,0.0241053873036789,0.0262228173171134
"Beta 6",6,0.023048037202279,0.022056086141418,0.024083774133777
"Beta 7",7,0.0202380627133225,0.0192883544755566,0.0212278844130155
"Beta 8",8,0.0180855556448959,0.0171597040046156,0.0191007220510687
"Beta 9",9,0.0172955856064067,0.0164627933689847,0.018311257804028
"Beta 10",10,0.0154185228420522,0.0147181909674749,0.0160988247906496
"Beta 11",11,0.0149426146951716,0.0142149675483492,0.0158080755555658
"Beta 12",12,0.0146807158942567,0.013841989412446,0.0156293604222222
"Beta 13",13,0.0141906102699488,0.0133719862825972,0.0149496081853255
"Beta 14",14,0.013157846068469,0.0124182393016648,0.0138824106613952
"Beta 15",15,0.0134452775886489,0.0126830973920526,0.0142931330826887
"Beta 16",16,0.0123638832896546,0.0116810323817811,0.0130573913761221
"Beta 17",17,0.0122977644601258,0.0115471873587306,0.0132359025978781
"Beta 18",18,0.0116195995673043,0.0108990525730779,0.0123549274525336
"Beta 19",19,0.0116459501153046,0.0109252894839411,0.0124940915302055
"Beta 20",20,0.0106123484118569,0.0099430095055419,0.0112902179415579
"Beta 21",21,0.0118724922837676,0.0111805936355343,0.0125650835077639
"Beta 22",22,0.0120850258221466,0.0113727668854229,0.01285512474876
"Beta 23",23,0.00994499226364246,0.00933348374956026,0.010716219624243
"Beta 24",24,0.0100022382235872,0.00936055806610678,0.0107051694980697
"Beta 25",25,0.00945087115108605,0.00875306869615361,0.010139651685038
"Beta 26",26,0.00947156348835875,0.00886620958517838,0.0101770208492793
"Beta 27",27,0.00836938657986338,0.00770614494861499,0.00892566855038919
"Beta 28",28,0.00822023965351971,0.00756005688806835,0.00891328423487576
"Beta 29",29,0.00852581149193217,0.00804236113908452,0.00900312486465902
"Beta 30",30,0.00800563020535308,0.00729195041686753,0.0086072123513255
"Beta 31",31,0.00852864988455413,0.00784889353441967,0.00932827094950197
"Beta 32",32,0.0074051409955499,0.00686510515674282,0.00811411698110039
"Beta 33",33,0.00744345845596153,0.00680836960358063,0.00805881176019279
"Beta 34",34,0.00695483444375426,0.00640215868823387,0.00764494983218117
"Beta 35",35,0.00681494146634244,0.00615705839886708,0.00748884076660899
