"","atraso","mean","lower","upper"
"Beta 36",36,0.0068360033330535,0.00625181355659934,0.00752120078217307
"Beta 37",37,0.00705181747814781,0.00641821874730419,0.00771649293991055
"Beta 38",38,0.00703368759568738,0.00642663655451872,0.00769070336463521
"Beta 39",39,0.00638571060052925,0.00573961258847483,0.00723925311588855
"Beta 40",40,0.00674215785374934,0.00618042553684331,0.00753530093186869
"Beta 41",41,0.00622314393294736,0.00571716660723849,0.00673939589902217
"Beta 42",42,0.00799535583816694,0.00733405255689975,0.00868189017297655
"Beta 43",43,0.00709604112828084,0.00643277269570195,0.00776906373558324
"Beta 44",44,0.00693662222016243,0.00635887129253585,0.00764250503889946
"Beta 45",45,0.00710866298434547,0.00619308710531911,0.00782805204662511
"Beta 46",46,0.00599167821588532,0.00543038152431515,0.00660800205505473
"Beta 47",47,0.00682439662026426,0.00599781358427144,0.00768572596575602
"Beta 48",48,0.00636678602573356,0.00570640399313664,0.00698384935644385
"Beta 49",49,0.0074536973264107,0.0067059489788368,0.00838284235635177
"Beta 50",50,0.0065833493542755,0.00573823536955555,0.00756263181529023
"Beta 51",51,0.00448729583114942,0.00401822184115501,0.00502924085308181
"Beta 52",52,0.00463220740170147,0.00398691704380219,0.00529473167721729
"Beta 53",53,0.00416275261250077,0.00338316606024461,0.00472860732558338
"Beta 54",54,0.00674177653212055,0.00616697922194248,0.00736199856401954
"Beta 55",55,0.0046639384420658,0.00413526692344704,0.00526606309956684
"Beta 56",56,0.00509084877192508,0.00465372143228909,0.00556739007570807
"Beta 57",57,0.00652383977518649,0.00565197554189307,0.00748586383522504
"Beta 58",58,0.00488114996859965,0.00429029778249175,0.00548295936158199
"Beta 59",59,0.00607232402047185,0.00518027332383912,0.00706649761139019
"Beta 60",60,0.00657944707710732,0.0059835164165848,0.00733331764353097
"Beta 61",61,0.00551463947711329,0.00463556358249871,0.00641169151962359
"Beta 62",62,0.0039840564852904,0.00337738350728154,0.00457402017086968
"Beta 63",63,0.00368259047397632,0.00302808171066439,0.00453926388589419
"Beta 64",64,0.0033615029432955,0.00283448041235717,0.00400276160719428
"Beta 65",65,0.00348587120436503,0.00269791046456587,0.00426129828256031
"Beta 66",66,0.00255860325792816,0.00225035702561899,0.00314127677399536
"Beta 67",67,0.00271014555756775,0.00221146677737066,0.00320963378729462
"Beta 68",68,0.0023784049617704,0.00195739316073332,0.00310128554984084
"Beta 69",69,0.0023213593775458,0.00205790560714427,0.00272011156846159
"Beta 70",70,0.00178134958207296,0.00149556417087577,0.00216381718881803
"Beta 71",71,0.00207611387996898,0.00162460739935131,0.00275107227429566
"Beta 72",72,0.00162202931551669,0.00117999633306214,0.00202763647459641
"Beta 73",73,0.00168156633220584,0.00122717798489883,0.00256537616080114
"Beta 74",74,0.00239087081504428,0.0015348268193823,0.00351326323369941
"Beta 75",75,0.00171611952624862,0.0013717595806204,0.00222018161638604
"Beta 76",76,0.00223143696224532,0.00170495511277041,0.00254703630307886
"Beta 77",77,0.00113313505449146,0.000974812495863278,0.00128066056801415
"Beta 78",78,0.00162392677987902,0.00135811267067898,0.00191238586802225
"Beta 79",79,0.00148835522694346,0.00114382567945574,0.00196875842762659
"Beta 80",80,0.00118217139459677,0.000823478255144401,0.00152698053186992
"Beta 81",81,0.00199851572448414,0.00149187920758588,0.00254907338640138
"Beta 82",82,0.00189800803607517,0.00130034860228826,0.00270201317871887
"Beta 83",83,0.00152589723569749,0.00127423390214726,0.00196789455655061
"Beta 84",84,0.0012428098320401,0.000990503320328439,0.001560223413598
"Beta 85",85,0.0019897721294582,0.00163064986753096,0.00262015846443586
"Beta 86",86,0.000677559881938451,0.000497154643322517,0.000835118090586586
"Beta 87",87,0.00108748111280264,0.000828117042626521,0.00169682354107592
"Beta 88",88,0.00175268566109724,0.00106034211543433,0.00238576704773466
"Beta 89",89,0.000666467271674494,0.000448953687834487,0.000939916894863221
"Beta 90",90,0.00168636882176475,0.00138547044327954,0.00204687080346701
"Beta 91",91,0.00114278845332602,0.000817044343315025,0.00157972180700094
"Beta 92",92,0.00392104051671748,0.00275060541016033,0.00541825158769168
"Beta 93",93,0.000713201955093393,0.000484918946367072,0.000967038732958855
"Beta 94",94,0.00134005723827164,0.00106638741862357,0.00187498458290754
"Beta 95",95,0.00105472347855403,0.000788746330121219,0.00134961501037199
"Beta 96",96,0.00232516533122213,0.00161985490596123,0.00378820218673855
"Beta 97",97,0.00139559535055124,0.000939111217269864,0.00177652249934515
"Beta 98",98,0.00201937201475503,0.00157493369405566,0.0027942380700276
"Beta 99",99,0.00109165296351081,0.000721975742049792,0.00151009498879719
"Beta 100",100,0.00114237202712371,0.00078067989848364,0.00164016358252464
"Beta 101",101,0.000785345027096528,0.000636108062976678,0.000991631420889542
"Beta 102",102,0.00132846558411518,0.000913341003366534,0.00170477730821216
"Beta 103",103,0.0015744895643069,0.0010472066545404,0.00214302261200582
"Beta 104",104,0.00453211298694826,0.00300931916834065,0.00588112833730008
"Beta 105",105,0.000855926693943565,0.000717207990445769,0.000998070174967439
"Beta 106",106,0.00234560483808347,0.00190455935932269,0.00402290913427954
"Beta 107",107,0.00072105106373766,0.000444156032809629,0.00107463233902473
"Beta 108",108,0.0010730289980248,0.000718514359951433,0.00144635029372402
"Beta 109",109,0.00695104376175278,0.00492493038798371,0.00926569884229892
"Beta 110",110,0.000988518471043731,0.000727151555116288,0.00123275667907369
"Beta 111",111,0.0220346560315619,0.0147318641446834,0.0318805059807111
"Beta 112",112,0.00458436286413665,0.00401834853413934,0.00638086058720429
"Beta 113",113,0.00125254243334027,0.00087845292079287,0.00158528315224806
"Beta 114",114,0.00168870176345526,0.00130113170244306,0.00224068996392738
"Beta 115",115,0.000802629131098075,0.000647594485830015,0.00104800503511125
"Beta 116",116,0.00531248074726863,0.00437352512037309,0.00635720003043628
"Beta 117",117,0.0103528289216264,0.00816011546334651,0.0129660505076184
"Beta 118",118,0.000352449371847758,0.000191851940948427,0.000483151419323299
"Beta 119",119,0.00939195569489264,0.00764388469588466,0.0128142734964359
"Beta 120",120,0.000788097132592165,0.000450786446966724,0.00117837451183156
"Beta 121",121,0.00245655220383153,0.00212343426688662,0.00293260024190637
"Beta 122",122,0.00519517324631495,0.00434210874918425,0.00649764266271626
"Beta 123",123,0.00243016503704393,0.0014295432760147,0.00362858247235281
"Beta 124",124,0.00557623967915689,0.00415106122506731,0.00773864913822963
