"estimate","lower","upper","Data","Boletim ultimo"
1,1,1,2020-03-15,1
3,3,4,2020-03-16,3
4,4,5,2020-03-17,4
8,8,11,2020-03-18,8
10,9,12,2020-03-19,9
17,16,21,2020-03-20,16
17,15,21,2020-03-21,15
23,20,27,2020-03-22,20
42,39,48,2020-03-23,38
43,38,49,2020-03-24,37
46,41,53,2020-03-25,39
62,56,70,2020-03-26,53
70,64,79,2020-03-27,59
86,79,97,2020-03-28,73
87,79,98,2020-03-29,72
107,98,119,2020-03-30,89
135,126,151,2020-03-31,113
138,127,153,2020-04-01,113
160,148,177,2020-04-02,131
194,182,214,2020-04-03,160
212,199,233,2020-04-04,172
217,203,238,2020-04-05,174
211,197,232,2020-04-06,168
236,221,259,2020-04-07,188
239,224,262,2020-04-08,189
245,229,269,2020-04-09,191
292,274,320,2020-04-10,228
276,258,305,2020-04-11,211
343,322,375,2020-04-12,262
358,337,392.025,2020-04-13,271
326,305,359,2020-04-14,241
375,352,411,2020-04-15,278
379,355,416,2020-04-16,277
396,372,436,2020-04-17,286
429,402,469,2020-04-18,307
446,419,490,2020-04-19,315
515,484,562,2020-04-20,362
489,458.975,536,2020-04-21,336
590,556,644,2020-04-22,405
639,602.975,696,2020-04-23,433
655,617,715,2020-04-24,438
692,652,755,2020-04-25,459
647,607,707,2020-04-26,418
721,680,791,2020-04-27,462
779,735,852,2020-04-28,492
819,772,897.025,2020-04-29,512
769,723,847,2020-04-30,470
854,804,936,2020-05-01,515
899,846,989,2020-05-02,533
942,888,1036,2020-05-03,547
1026,966,1130.025,2020-05-04,583
1087,1024,1197,2020-05-05,608
976,913,1076,2020-05-06,524
1002,938,1102,2020-05-07,521
1107,1036,1216,2020-05-08,563
1118,1044,1232.025,2020-05-09,550
1083,1010,1195,2020-05-10,514
1181,1104,1300.025,2020-05-11,546
1222,1140,1346,2020-05-12,542
1203,1121,1329,2020-05-13,508
1249,1160,1381,2020-05-14,504
1256,1162,1387,2020-05-15,479
1291,1192,1432,2020-05-16,464
1417,1309,1572.025,2020-05-17,481
1537,1418,1700,2020-05-18,489
1624,1495,1800,2020-05-19,485
1499,1373,1668,2020-05-20,402
1735,1588,1924,2020-05-21,427
1957,1790,2177,2020-05-22,431
1887,1711.975,2116.025,2020-05-23,350
2125,1924,2389.025,2020-05-24,330
2631,2371,2967,2020-05-25,329
3042,2715.95,3471,2020-05-26,258
3894,3409.975,4500.025,2020-05-27,201
4699,3954,5611.05,2020-05-28,113
4792,3553.975,6484.025,2020-05-29,17
