"Dates","mean","lower","upper"
2020-03-12,1,1,1
2020-03-13,1.0038,1,1
2020-03-14,1.054,1,2
2020-03-15,2.1282,2,3
2020-03-16,5.2488,5,7
2020-03-17,9.4022,9,11
2020-03-18,17.601,17,19
2020-03-19,28.4712,27,31
2020-03-20,47.645,45,51
2020-03-21,64.3286,61,69
2020-03-22,88.0214,83,94
2020-03-23,127.5682,122,135
2020-03-24,170.0752,163,179
2020-03-25,217.567,209,228
2020-03-26,280.7044,270,292
2020-03-27,351.9504,340,366
2020-03-28,439.1188,425,455
2020-03-29,523.7272,507,542
2020-03-30,632.2106,614,652
2020-03-31,764.8072,743,788
2020-04-01,902.0008,878,927
2020-04-02,1067.1168,1040,1097
2020-04-03,1257.958,1228,1291
2020-04-04,1477.1906,1443,1513
2020-04-05,1707.9134,1670,1748
2020-04-06,1925.9268,1884,1968
2020-04-07,2178.688,2133,2225
2020-04-08,2415.0642,2366,2464.025
2020-04-09,2658.9472,2606,2713
2020-04-10,2945.3764,2888,3004
2020-04-11,3235.5112,3175,3300
2020-04-12,3583.443,3517,3654
2020-04-13,3954.3512,3883,4031
2020-04-14,4302.683,4227,4385
2020-04-15,4703.7944,4622.975,4792
2020-04-16,5112.774,5024.975,5209
2020-04-17,5537.4006,5444,5641
2020-04-18,6003.1612,5903,6115.025
2020-04-19,6528.996,6421,6651
2020-04-20,7108.6402,6993,7239.025
2020-04-21,7673.0944,7550,7813
2020-04-22,8354.7848,8219,8508
2020-04-23,9084.7634,8940,9250
2020-04-24,9869.3072,9713,10047
2020-04-25,10693.9094,10525,10887
2020-04-26,11530.0654,11347,11737.025
2020-04-27,12393.4428,12198.975,12621
2020-04-28,13348.8292,13141,13593
2020-04-29,14349.122,14125,14611.025
2020-04-30,15360.0856,15122,15644.025
2020-05-01,16392.37,16137.975,16695.025
2020-05-02,17440.3302,17170,17765
2020-05-03,18552.9166,18269,18898
2020-05-04,19706.478,19405,20072.025
2020-05-05,20930.5702,20613,21321
2020-05-06,22078.5114,21740.975,22491.025
2020-05-07,23251.684,22896.975,23690.025
2020-05-08,24498.7714,24126,24961
2020-05-09,25747.7972,25355,26228
2020-05-10,27000.188,26589,27504
2020-05-11,28250.3378,27818,28776.05
2020-05-12,29560.6054,29105.975,30113.05
2020-05-13,30859.9166,30388,31438.025
2020-05-14,32208.8412,31716,32815
2020-05-15,33473.2096,32958.975,34104.025
2020-05-16,34736.682,34208,35392
2020-05-17,36020.0942,35472.975,36697.025
2020-05-18,37315.6314,36742,38021
2020-05-19,38578.6804,37986,39308
2020-05-20,39761.961,39152.975,40508
2020-05-21,41003.2342,40373,41770.025
2020-05-22,42336.0184,41687,43132
2020-05-23,43543.5708,42875,44360.025
2020-05-24,44673.0644,43988.975,45512.025
2020-05-25,45993.378,45286,46858
2020-05-26,47157.4172,46429,48045
2020-05-27,48368.2184,47621,49279
2020-05-28,49571.7832,48806,50506.025
2020-05-29,50825.3204,50041,51783.025
2020-05-30,51993.9564,51197.925,52975
2020-05-31,53103.359,52291,54103.025
2020-06-01,54322.9078,53488,55345.025
2020-06-02,55508.9178,54660.975,56553.025
2020-06-03,56675.897,55812,57745
2020-06-04,57875.1434,56990.95,58963.025
2020-06-05,58998.165,58092,60107
2020-06-06,60212.538,59287.975,61345.025
2020-06-07,61267.365,60323,62423.025
2020-06-08,62394.3788,61441,63568.05
2020-06-09,63492.3104,62522.975,64690.025
2020-06-10,64670.1276,63679.95,65891.025
2020-06-11,65796.9044,64786,67028.025
2020-06-12,66970.2628,65938.975,68226.025
2020-06-13,68153.3482,67096.95,69427.025
2020-06-14,69262.2458,68186,70559.025
2020-06-15,70415.9326,69323.975,71729.025
2020-06-16,71637.7908,70528,72983
2020-06-17,72861.794,71727,74225.05
2020-06-18,73994.1558,72846,75375.075
2020-06-19,75149.1052,73980.9,76557.025
2020-06-20,76292.2742,75104.925,77722.025
2020-06-21,77453.7814,76241,78904.05
2020-06-22,78666.6034,77436,80143
2020-06-23,79793.1118,78544.9,81291
2020-06-24,80977.5214,79718.95,82494
2020-06-25,82149.1286,80869.9,83692.075
2020-06-26,83256.6454,81959.8,84816
2020-06-27,84386.281,83057,85971.025
2020-06-28,85566.681,84209,87158.025
2020-06-29,86839.3696,85456.95,88460
2020-06-30,88063.7058,86666,89717.025
2020-07-01,89271.4758,87853,90943.025
2020-07-02,90583.0578,89147.975,92285.025
2020-07-03,91759.5046,90299.95,93489
2020-07-04,92986.9946,91502.95,94734
2020-07-05,94299.3796,92793.95,96072.025
2020-07-06,95571.8962,94046.975,97373
2020-07-07,96869.0898,95314.975,98703.05
2020-07-08,98184.991,96618.975,100044
2020-07-09,99546.6556,97956.925,101421
2020-07-10,100860.7196,99247.9,102765.025
2020-07-11,102155.6374,100517,104085.1
2020-07-12,103647.7336,101976,105590.025
2020-07-13,105116.5846,103411.9,107093
2020-07-14,106587.2586,104847.95,108592.125
2020-07-15,108025.6784,106260.975,110067.05
2020-07-16,109434.693,107644.95,111504.05
2020-07-17,110905.4142,109079,112994.05
2020-07-18,112295.5912,110452.85,114412
2020-07-19,113789.992,111911.9,115930.025
2020-07-20,115242.6638,113352.925,117420.075
2020-07-21,116851.1334,114927.975,119053
2020-07-22,118473.1662,116516,120704.025
2020-07-23,119929.6028,117950.95,122200.025
2020-07-24,121478.0466,119459,123773.025
2020-07-25,123044.3402,120991.975,125367.1
2020-07-26,124569.0934,122495.9,126926.075
2020-07-27,126236.4678,124136.975,128639.15
2020-07-28,127806.4822,125684.775,130249.025
2020-07-29,129180.675,127058.9,131658.025
