"Dates","mean","lower","upper"
2020-03-12,1,1,1
2020-03-13,1.0154,1,1
2020-03-14,1.0782,1,2
2020-03-15,2.1958,2,3
2020-03-16,5.3364,5,7
2020-03-17,9.5406,9,11
2020-03-18,17.8232,17,20
2020-03-19,28.2098,27,31
2020-03-20,46.7676,45,50
2020-03-21,62.4992,60,66
2020-03-22,84.6642,81,89
2020-03-23,123.5192,119,129
2020-03-24,162.9818,158,169
2020-03-25,207.13,201,214
2020-03-26,267.218,260,276
2020-03-27,334.1152,325,344
2020-03-28,414.9218,405,426
2020-03-29,493.73,482,506
2020-03-30,594.4834,581,608
2020-03-31,717.973,703,734
2020-04-01,844.2602,827,862
2020-04-02,994.775,976,1016
2020-04-03,1174.2438,1153,1198
2020-04-04,1378.6218,1355,1404
2020-04-05,1593.443,1567,1623
2020-04-06,1797.6616,1768,1831
2020-04-07,2034.9024,2002,2071
2020-04-08,2254.793,2220,2295
2020-04-09,2481.3918,2444,2525
2020-04-10,2752.7594,2711,2800
2020-04-11,3020.8092,2976,3073
2020-04-12,3347.1476,3297.975,3404
2020-04-13,3693.989,3640,3757
2020-04-14,4016.0106,3958,4084
2020-04-15,4391.7094,4328,4466
2020-04-16,4774.5166,4706,4855.025
2020-04-17,5172.524,5098,5261
2020-04-18,5608.9342,5528,5705.025
2020-04-19,6101.4702,6012,6207
2020-04-20,6642.2964,6546,6758
2020-04-21,7175.2568,7070,7300.025
2020-04-22,7814.943,7701,7952.025
2020-04-23,8493.1302,8367,8643.025
2020-04-24,9230.0728,9093,9394.025
2020-04-25,9997.4902,9846,10175
2020-04-26,10781.195,10617,10975
2020-04-27,11585.4888,11409,11791.025
2020-04-28,12483.2394,12292.975,12709.025
2020-04-29,13416.4422,13208,13659
2020-04-30,14360.0246,14136,14623
2020-05-01,15328.8594,15086,15606
2020-05-02,16308.1872,16052,16604
2020-05-03,17347.7696,17076,17661
2020-05-04,18427.3456,18138,18762
2020-05-05,19574.4136,19265,19929
2020-05-06,20651.614,20326,21026
2020-05-07,21745.5084,21401.975,22140.05
2020-05-08,22909.7252,22548,23318.025
2020-05-09,24086.9002,23705.95,24522
2020-05-10,25263.2194,24862,25721
2020-05-11,26437.596,26021,26918.025
2020-05-12,27653.6382,27216.975,28160
2020-05-13,28866.015,28408,29398
2020-05-14,30137.9454,29659.925,30697
2020-05-15,31263.7758,30764.975,31845
2020-05-16,32401.6916,31884,33001.025
2020-05-17,33564.8062,33031.975,34185.025
2020-05-18,34765.6744,34209,35411.025
2020-05-19,35951.104,35374.975,36618.05
2020-05-20,37075.0768,36481.975,37758.025
2020-05-21,38257.2156,37641.975,38963
2020-05-22,39521.429,38887,40243
2020-05-23,40669.9272,40014.95,41410.05
2020-05-24,41746.4618,41071,42505.025
2020-05-25,43016.6502,42316.975,43800.025
2020-05-26,44136.8602,43418.975,44943.05
2020-05-27,45301.8758,44560,46129.075
2020-05-28,46456.1798,45690,47297.025
2020-05-29,47662.4374,46877.95,48528.075
2020-05-30,48779.1778,47976,49665.075
2020-05-31,49849.1048,49030.95,50749.1
2020-06-01,51027.8664,50186.975,51948.05
2020-06-02,52178.7042,51315,53123.025
2020-06-03,53307.649,52421.975,54267.025
2020-06-04,54456.3312,53551,55438.05
2020-06-05,55540.2332,54615.975,56551
2020-06-06,56719.4582,55774.975,57746.05
2020-06-07,57761.8074,56798.975,58810
2020-06-08,58877.5426,57889.975,59942.025
2020-06-09,59960.7264,58958,61039.025
2020-06-10,61112.0364,60092,62212.025
2020-06-11,62236.5738,61190.975,63361
2020-06-12,63383.3302,62319,64519.025
2020-06-13,64538.7878,63461.925,65694
2020-06-14,65634.8232,64534.975,66815
2020-06-15,66786.0712,65667.975,67996.075
2020-06-16,68006.221,66866.925,69233.25
2020-06-17,69217.8356,68050.9,70476.025
2020-06-18,70334.589,69146.975,71616.05
2020-06-19,71471.85,70260.975,72772.05
2020-06-20,72625.8292,71385.975,73937
2020-06-21,73814.5452,72557.925,75148.05
2020-06-22,75037.4096,73753.975,76404
2020-06-23,76197.3866,74887.975,77589.05
2020-06-24,77411.019,76082.95,78813.025
2020-06-25,78611.8454,77254,80033.125
2020-06-26,79748.1668,78367,81190.075
2020-06-27,80933.9152,79526.85,82406.025
2020-06-28,82178.9508,80744.975,83678.025
2020-06-29,83511.6012,82063.95,85039.075
2020-06-30,84798.8146,83308.925,86353.1
2020-07-01,86091.2634,84575.925,87659.1
2020-07-02,87492.8352,85950.975,89079.025
2020-07-03,88763.0434,87195.925,90373.125
2020-07-04,90096.8048,88512.975,91736
2020-07-05,91539.7612,89930.925,93203
2020-07-06,92986.696,91346.9,94673.225
2020-07-07,94444.123,92794.95,96167.025
2020-07-08,95943.3364,94267.875,97696.025
2020-07-09,97472.0518,95764,99260.025
2020-07-10,98938.921,97215.925,100738.05
2020-07-11,100431.6092,98682.95,102268.05
2020-07-12,102137.3648,100322.975,104008.025
2020-07-13,103857.7494,101996,105781.025
2020-07-14,105537.4652,103664.925,107484.075
2020-07-15,107252.2668,105342.9,109236.025
2020-07-16,108905.7382,106952.925,110933.15
2020-07-17,110566.645,108591.975,112647.075
2020-07-18,112254.6086,110254.975,114361.1
2020-07-19,114156.5712,112105.975,116317
2020-07-20,116096.6514,113998.925,118301.05
2020-07-21,117945.067,115793.925,120222
