"Dates","mean","lower","upper"
2020-02-17,1,1,1
2020-02-18,1.0056,1,1
2020-02-19,2.0192,2,2
2020-02-20,3.0338,3,4
2020-02-21,4.0978,4,5
2020-02-22,5.1798,5,6
2020-02-23,5.2704,5,7
2020-02-24,5.3746,5,7
2020-02-25,5.4994,5,7
2020-02-26,6.6732,6,9
2020-02-27,9.9806,9,12
2020-02-28,14.3874,13,17
2020-02-29,15.9298,14,19
2020-03-01,29.7818,27,34
2020-03-02,42.919,40,48
2020-03-03,56.2264,52,62
2020-03-04,63.6016,59,69
2020-03-05,79.3148,74,86
2020-03-06,92.67,86,100
2020-03-07,104.304,97,113
2020-03-08,123.8574,116,133
2020-03-09,145.8114,136,157
2020-03-10,190.69,179,204
2020-03-11,238.387,225,254
2020-03-12,305.3118,290,322
2020-03-13,379.99,362,400
2020-03-14,458.551,438,481
2020-03-15,563.1232,539,589
2020-03-16,697.779,670,727
2020-03-17,810.9784,779,844
2020-03-18,987.49,951,1025
2020-03-19,1151.3656,1111,1193
2020-03-20,1429.1448,1383,1477
2020-03-21,1636.9118,1587,1691
2020-03-22,1854.8274,1799,1914
2020-03-23,2182.3838,2121,2246.025
2020-03-24,2447.0452,2380,2519
2020-03-25,2756.9202,2683,2835
2020-03-26,3059.9424,2981,3147
2020-03-27,3345.7624,3261,3441.025
2020-03-28,3619.6278,3529,3721
2020-03-29,3914.4308,3818,4022.025
2020-03-30,4272.1658,4170.975,4390
2020-03-31,4615.679,4507,4740
2020-04-01,5197.8842,5080,5335.025
2020-04-02,5664.768,5540,5814
2020-04-03,6127.9628,5994,6286.025
2020-04-04,6613.8596,6473,6787
2020-04-05,7105.1474,6957,7285
2020-04-06,7674.2452,7514.975,7868
2020-04-07,8226.9796,8062,8431
2020-04-08,8830.4112,8658,9047
2020-04-09,9446.343,9262.975,9676
2020-04-10,10388.7258,10192,10636
2020-04-11,11058.5726,10849,11323
2020-04-12,11824.1742,11602,12106.025
2020-04-13,12626.1362,12389.975,12923
2020-04-14,13525.0696,13275,13839.025
2020-04-15,14568.3126,14305,14903
2020-04-16,15500.937,15221.975,15855.025
2020-04-17,16511.0792,16217,16890
2020-04-18,17681.1202,17367,18085
2020-04-19,18776.7476,18447,19208.025
2020-04-20,20537.0216,20182.975,21001.075
2020-04-21,21545.2484,21175,22031
2020-04-22,22716.3326,22328,23226
2020-04-23,23882.8066,23481.975,24420
2020-04-24,25240.1584,24818.975,25801.05
