nome_drs,tot.casos,tot.casos.pc,tot.obitos,tot.obitos.pc,casos.max,casos.pc.max,semana.casos.max,obitos.max,obitos.pc.max,semana.obitos.max
Araçatuba,28902,3782.78129053284,668,87.4298630570872,2021,264.514600656248,30,42,5.4970871982001,30
Araraquara,26445,2667.34581692194,451,45.4896185831648,1361,137.275766943874,33,28,2.82418918032952,41
Baixada Santista,77627,4237.54997587183,2707,147.771365435803,4573,249.633710431447,28,155,8.46123444497577,25
Barretos,16994,3997.74165470841,399,93.8624761815145,1186,278.999741231269,36,32,7.5278176386177,38
Bauru,58300,3348.10981111033,984,56.510120997128,2952,169.530362991384,30,50,2.87144923765894,40
Campinas,156741,3435.70156451215,4232,92.7637888045593,9907,217.157574595172,33,250,5.47990245773625,30
Franca,17175,2466.48169849038,502,72.0916339238529,1113,159.836630592128,32,38,5.45713563567014,38
Grande São Paulo,665407,3147.88165735787,26673,126.18359507295,33565,158.788001672986,33,1269,6.00333603822493,25
Marília,24965,2249.76794902989,478,43.0758694026152,1418,127.785738102319,51,27,2.43315580307659,41
Piracicaba,59795,3883.80098726942,1344,87.2954014029618,3684,239.282930631333,36,100,6.49519355676799,31
Presidente Prudente,21057,2799.16518225082,512,68.0615744556403,1158,153.936139100843,51,28,3.72211735304283,34
Registro,10714,3843.5322901196,276,99.0120321143374,800,286.991397432862,32,18,6.45730644223939,32
Ribeirão Preto,54556,3692.37849654491,1640,110.996054225633,3209,217.186791469547,30,113,7.64789885822961,32
São João da Boa Vista,21183,2615.71478669755,466,57.5425147807704,1409,173.985844047437,31,30,3.70445374125131,32
São José do Rio Preto,88629,5643.64587585113,2228,141.872784431691,6256,398.364514993113,32,125,7.95964903678695,34
Sorocaba,68197,2770.25380215781,1651,67.0658390744833,3509,142.540296373326,30,89,3.61529962303393,30
Taubaté,71036,2853.27653236687,1591,63.9051039331563,4072,163.558506106733,32,103,4.13716260535204,34
