nome_drs,semana_epidem,cod_drs.x,pop,pop_60,area,casos_not,casos_sin,casos_not_pc,casos_sin_pc,obitos_not,obitos_sin,obitos_not_pc,obitos_sin_pc
Araçatuba,9,7,764041,134989,1639171,0,3,0,0.392649085585721,0,0,0,0
Araçatuba,10,7,764041,134989,1639171,0,3,0,0.392649085585721,0,0,0,0
Araçatuba,11,7,764041,134989,1639171,0,17,0,2.22501148498575,0,0,0,0
Araçatuba,12,7,764041,134989,1639171,0,38,0,4.9735550840858,0,1,0,0.130883028528574
Araçatuba,13,7,764041,134989,1639171,0,33,0,4.31913994144293,0,1,0,0.130883028528574
Araçatuba,14,7,764041,134989,1639171,7,37,0.916181199700016,4.84267205555723,0,1,0,0.130883028528574
Araçatuba,15,7,764041,134989,1639171,13,44,1.70147937087146,5.75885325525724,0,3,0,0.392649085585721
Araçatuba,16,7,764041,134989,1639171,35,49,4.58090599850008,6.41326839790011,0,4,0,0.523532114114295
Araçatuba,17,7,764041,134989,1639171,36,65,4.71178902702865,8.50739685435729,5,3,0.654415142642869,0.392649085585721
Araçatuba,18,7,764041,134989,1639171,42,83,5.4970871982001,10.8632913678716,0,6,0,0.785298171171442
Araçatuba,19,7,764041,134989,1639171,86,54,11.2559404534573,7.06768354054298,5,2,0.654415142642869,0.261766057057147
Araçatuba,20,7,764041,134989,1639171,72,95,9.42357805405731,12.4338877102145,7,5,0.916181199700016,0.654415142642869
Araçatuba,21,7,764041,134989,1639171,75,138,9.81622713964303,18.0618579369432,3,2,0.392649085585721,0.261766057057147
Araçatuba,22,7,764041,134989,1639171,52,178,6.80591748348583,23.2971790780861,4,11,0.523532114114295,1.43971331381431
Araçatuba,23,7,764041,134989,1639171,110,305,14.3971331381431,39.919323701215,4,16,0.523532114114295,2.09412845645718
Araçatuba,24,7,764041,134989,1639171,152,510,19.8942203363432,66.7503445495726,7,18,0.916181199700016,2.35589451351433
Araçatuba,25,7,764041,134989,1639171,293,776,38.3487273588721,101.565230138173,12,24,1.57059634234288,3.14119268468577
Araçatuba,26,7,764041,134989,1639171,521,992,68.1900578633869,129.835964300345,12,31,1.57059634234288,4.05737388438579
Araçatuba,27,7,764041,134989,1639171,554,1408,72.5091978048298,184.283304168232,23,30,3.0103096561572,3.92649085585721
Araçatuba,28,7,764041,134989,1639171,1060,1506,138.736010240288,197.109840964032,22,42,2.87942662762862,5.4970871982001
Araçatuba,29,7,764041,134989,1639171,899,1420,117.663842647188,185.853900510575,22,29,2.87942662762862,3.79560782732864
Araçatuba,30,7,764041,134989,1639171,2021,1203,264.514600656248,157.452283319874,42,25,5.4970871982001,3.27207571321434
Araçatuba,31,7,764041,134989,1639171,1440,1076,188.471561081146,140.830138696745,31,30,4.05737388438579,3.92649085585721
Araçatuba,32,7,764041,134989,1639171,1355,888,177.346503656217,116.224129333373,23,16,3.0103096561572,2.09412845645718
Araçatuba,33,7,764041,134989,1639171,1213,912,158.76111360516,119.365322018059,22,21,2.87942662762862,2.74854359910005
Araçatuba,34,7,764041,134989,1639171,1053,765,137.819829040588,100.125516824359,26,24,3.40295874174292,3.14119268468577
