"estimate","lower","upper","onset_date","n.reported"
71,71,71,2020-03-13,71
104,104,106,2020-03-14,104
110,110,114,2020-03-15,110
145,143,150,2020-03-16,143
121,117,127,2020-03-17,117
130,126,137,2020-03-18,125
141,136,149,2020-03-19,134
190,183,199,2020-03-20,179
188,181,198,2020-03-21,174
196,188,208,2020-03-22,178
248,237,261,2020-03-23,223
237,226,251,2020-03-24,209
230,218,244,2020-03-25,198
239,226.975,254,2020-03-26,205
182,171,196,2020-03-27,151
208,195,223,2020-03-28,172
210,197,226,2020-03-29,170
198,184,214,2020-03-30,155
198,183,215,2020-03-31,150
237,220,256,2020-04-01,179
191,176,210,2020-04-02,137
170,155,189,2020-04-03,117
180,164,200,2020-04-04,121
177,160,198.025,2020-04-05,113
192,173,214,2020-04-06,120
176,157,199,2020-04-07,102
181,160,205,2020-04-08,101
180,159,206,2020-04-09,93
205,181,233,2020-04-10,105
139,116,165,2020-04-11,53
141,118,168,2020-04-12,51
154,129,185,2020-04-13,55
115,89,144,2020-04-14,22
136,107,170,2020-04-15,32
124,94,160,2020-04-16,21
107,75,145,2020-04-17,8
111,76,156,2020-04-18,10
96,59,147,2020-04-19,NA
99,56,162,2020-04-20,1
99,53,170,2020-04-21,NA
