"dt_sin_pri","n.casos"
2020-01-26,1
2020-02-04,1
2020-02-08,1
2020-02-14,1
2020-02-20,5
2020-02-22,1
2020-02-23,1
2020-02-24,4
2020-02-25,1
2020-02-27,1
2020-02-28,3
2020-03-01,11
2020-03-02,10
2020-03-03,11
2020-03-04,11
2020-03-05,9
2020-03-06,19
2020-03-07,18
2020-03-08,24
2020-03-09,43
2020-03-10,47
2020-03-11,60
2020-03-12,70
2020-03-13,80
2020-03-14,119
2020-03-15,137
2020-03-16,168
2020-03-17,152
2020-03-18,159
2020-03-19,167
2020-03-20,249
2020-03-21,217
2020-03-22,226
2020-03-23,290
2020-03-24,270
2020-03-25,261
2020-03-26,274
2020-03-27,216
2020-03-28,227
2020-03-29,235
2020-03-30,261
2020-03-31,213
2020-04-01,291
2020-04-02,221
2020-04-03,216
2020-04-04,228
2020-04-05,242
2020-04-06,254
2020-04-07,238
2020-04-08,254
2020-04-09,241
2020-04-10,338
2020-04-11,222
2020-04-12,275
2020-04-13,272
2020-04-14,290
2020-04-15,346
2020-04-16,286
2020-04-17,346
2020-04-18,386
2020-04-19,279
2020-04-20,440
2020-04-21,309
2020-04-22,344
2020-04-23,333
2020-04-24,354
2020-04-25,377
2020-04-26,300
2020-04-27,351
2020-04-28,317
2020-04-29,288
2020-04-30,364
2020-05-01,495
2020-05-02,328
2020-05-03,347
2020-05-04,383
2020-05-05,382
2020-05-06,316
2020-05-07,365
2020-05-08,313
2020-05-09,331
2020-05-10,456
2020-05-11,361
2020-05-12,303
2020-05-13,285
2020-05-14,298
2020-05-15,337
2020-05-16,310
2020-05-17,294
2020-05-18,313
2020-05-19,235
2020-05-20,333
2020-05-21,231
2020-05-22,227
2020-05-23,196
2020-05-24,192
2020-05-25,236
2020-05-26,201
2020-05-27,162
2020-05-28,198
2020-05-29,165
2020-05-30,153
2020-05-31,159
2020-06-01,206
2020-06-02,131
2020-06-03,101
2020-06-04,108
2020-06-05,95
2020-06-06,72
2020-06-07,55
2020-06-08,62
2020-06-09,41
2020-06-10,35
2020-06-11,18
2020-06-12,14
2020-06-13,6
2020-06-14,1
