"dt_sin_pri","n.casos"
2019-12-29,3
2019-12-30,7
2019-12-31,2
2020-01-01,6
2020-01-02,7
2020-01-03,6
2020-01-04,5
2020-01-05,5
2020-01-06,1
2020-01-07,3
2020-01-08,5
2020-01-09,1
2020-01-10,6
2020-01-11,4
2020-01-12,2
2020-01-13,2
2020-01-14,1
2020-01-15,3
2020-01-16,2
2020-01-17,4
2020-01-18,2
2020-01-19,3
2020-01-20,1
2020-01-21,3
2020-01-22,2
2020-01-23,3
2020-01-24,7
2020-01-25,7
2020-01-26,3
2020-01-27,4
2020-01-28,5
2020-01-29,2
2020-01-30,5
2020-01-31,3
2020-02-01,3
2020-02-02,3
2020-02-03,6
2020-02-04,3
2020-02-05,1
2020-02-06,4
2020-02-07,4
2020-02-08,3
2020-02-09,10
2020-02-10,13
2020-02-11,1
2020-02-12,9
2020-02-13,7
2020-02-14,5
2020-02-15,7
2020-02-16,5
2020-02-17,10
2020-02-18,4
2020-02-19,7
2020-02-20,15
2020-02-21,8
2020-02-22,11
2020-02-23,9
2020-02-24,10
2020-02-25,17
2020-02-26,6
2020-02-27,8
2020-02-28,18
2020-02-29,11
2020-03-01,35
2020-03-02,26
2020-03-03,40
2020-03-04,34
2020-03-05,32
2020-03-06,46
2020-03-07,43
2020-03-08,57
2020-03-09,88
2020-03-10,120
2020-03-11,128
2020-03-12,159
2020-03-13,181
2020-03-14,225
2020-03-15,294
2020-03-16,383
2020-03-17,348
2020-03-18,372
2020-03-19,389
2020-03-20,573
2020-03-21,451
2020-03-22,441
2020-03-23,553
2020-03-24,504
2020-03-25,479
2020-03-26,483
2020-03-27,424
2020-03-28,431
2020-03-29,411
2020-03-30,446
2020-03-31,413
2020-04-01,545
2020-04-02,436
2020-04-03,418
2020-04-04,391
2020-04-05,390
2020-04-06,439
2020-04-07,399
2020-04-08,432
2020-04-09,416
2020-04-10,537
2020-04-11,371
2020-04-12,406
2020-04-13,454
2020-04-14,415
2020-04-15,465
2020-04-16,419
2020-04-17,438
2020-04-18,457
2020-04-19,363
2020-04-20,481
2020-04-21,280
2020-04-22,292
2020-04-23,248
2020-04-24,228
2020-04-25,148
2020-04-26,95
2020-04-27,90
2020-04-28,20
2020-04-29,3
