"data";"tot.pass";"est.pagantes";"est.grat";"tot.grat";"semana";"semana.num";"semana.dia1";"ano";"estudantes";"grat.no.est"
2019-02-21;9154291;165869;623739;1325399;"2019-W08";8;2019-02-17;"2019";789608;701660
2019-02-22;9037811;157135;599268;1331092;"2019-W08";8;2019-02-17;"2019";756403;731824
2019-02-23;5686414;67455;317861;895166;"2019-W08";8;2019-02-17;"2019";385316;577305
2019-02-24;3221731;35261;175344;588038;"2019-W09";9;2019-02-24;"2019";210605;412694
2019-02-25;8954501;171005;639345;1355899;"2019-W09";9;2019-02-24;"2019";810350;716554
2019-02-26;7827889;152197;537278;1084426;"2019-W09";9;2019-02-24;"2019";689475;547148
2019-02-27;9334482;181807;669753;1435401;"2019-W09";9;2019-02-24;"2019";851560;765648
2019-02-28;8837419;168055;619237;1247475;"2019-W09";9;2019-02-24;"2019";787292;628238
2019-03-01;8695427;145087;583040;1338371;"2019-W09";9;2019-02-24;"2019";728127;755331
2019-03-02;4855425;50095;273154;814940;"2019-W09";9;2019-02-24;"2019";323249;541786
2019-03-03;2849423;28828;165882;525240;"2019-W10";10;2019-03-03;"2019";194710;359358
2019-03-04;4596594;41198;228192;810051;"2019-W10";10;2019-03-03;"2019";269390;581859
2019-03-05;3275496;32411;184847;559057;"2019-W10";10;2019-03-03;"2019";217258;374210
2019-03-06;6715585;71972;252244;1121267;"2019-W10";10;2019-03-03;"2019";324216;869023
2019-03-07;8765130;163144;469239;1433576;"2019-W10";10;2019-03-03;"2019";632383;964337
2019-03-08;9009286;165956;521152;1523318;"2019-W10";10;2019-03-03;"2019";687108;1002166
2019-03-09;5477781;70255;323185;914112;"2019-W10";10;2019-03-03;"2019";393440;590927
2019-03-10;3097462;36063;190597;590475;"2019-W11";11;2019-03-10;"2019";226660;399878
2019-03-11;8680915;182362;673330;1373387;"2019-W11";11;2019-03-10;"2019";855692;700057
2019-03-12;9332705;210911;758442;1501564;"2019-W11";11;2019-03-10;"2019";969353;743122
2019-03-13;9302023;217238;783054;1464494;"2019-W11";11;2019-03-10;"2019";1000292;681440
2019-03-14;9138244;218010;781114;1395306;"2019-W11";11;2019-03-10;"2019";999124;614192
2019-03-15;8974324;204029;749399;1383333;"2019-W11";11;2019-03-10;"2019";953428;633934
2019-03-16;5360716;78180;358178;898009;"2019-W11";11;2019-03-10;"2019";436358;539831
2019-03-17;2833133;34027;178320;549842;"2019-W12";12;2019-03-17;"2019";212347;371522
2019-03-18;8487462;212121;754455;1310199;"2019-W12";12;2019-03-17;"2019";966576;555744
2019-03-19;9096233;229534;817102;1398406;"2019-W12";12;2019-03-17;"2019";1046636;581304
2019-03-20;9274731;236181;842107;1444287;"2019-W12";12;2019-03-17;"2019";1078288;602180
2019-03-21;8811742;228727;802900;1253379;"2019-W12";12;2019-03-17;"2019";1031627;450479
2019-03-22;8702228;212612;721073;1339484;"2019-W12";12;2019-03-17;"2019";933685;618411
2019-03-23;5406567;83345;383852;904762;"2019-W12";12;2019-03-17;"2019";467197;520910
2019-03-24;3021761;39159;202338;596309;"2019-W13";13;2019-03-24;"2019";241497;393971
2019-03-25;8956741;231033;830826;1402169;"2019-W13";13;2019-03-24;"2019";1061859;571343
2019-03-26;9154270;237914;838806;1427395;"2019-W13";13;2019-03-24;"2019";1076720;588589
2019-03-27;8976544;229487;811877;1421919;"2019-W13";13;2019-03-24;"2019";1041364;610042
2019-03-28;8777194;220379;767980;1348522;"2019-W13";13;2019-03-24;"2019";988359;580542
2019-03-29;8145486;184234;662478;1264022;"2019-W13";13;2019-03-24;"2019";846712;601544
2019-03-30;4520076;62578;284784;758335;"2019-W13";13;2019-03-24;"2019";347362;473551
2019-03-31;3033985;35938;179142;600717;"2019-W14";14;2019-03-31;"2019";215080;421575
2019-04-01;8754448;213127;808020;1390714;"2019-W14";14;2019-03-31;"2019";1021147;582694
2019-04-02;8705790;223783;829723;1380101;"2019-W14";14;2019-03-31;"2019";1053506;550378
2019-04-03;9317145;241303;897592;1493659;"2019-W14";14;2019-03-31;"2019";1138895;596067
2019-04-04;9291886;242292;897276;1457645;"2019-W14";14;2019-03-31;"2019";1139568;560369
2019-04-05;9281110;224811;862199;1470728;"2019-W14";14;2019-03-31;"2019";1087010;608529
2019-04-06;5437723;86163;362859;879479;"2019-W14";14;2019-03-31;"2019";449022;516620
2019-04-07;3087515;42690;200460;594315;"2019-W15";15;2019-04-07;"2019";243150;393855
2019-04-08;8490934;222448;743090;1241239;"2019-W15";15;2019-04-07;"2019";965538;498149
2019-04-09;8979991;243393;841453;1349157;"2019-W15";15;2019-04-07;"2019";1084846;507704
2019-04-10;9322353;250980;881902;1480206;"2019-W15";15;2019-04-07;"2019";1132882;598304
2019-04-11;9266536;253254;884587;1436110;"2019-W15";15;2019-04-07;"2019";1137841;551523
2019-04-12;9097634;236093;844529;1413062;"2019-W15";15;2019-04-07;"2019";1080622;568533
2019-04-13;5557948;95824;432045;935251;"2019-W15";15;2019-04-07;"2019";527869;503206
2019-04-14;2693801;38006;194424;496628;"2019-W16";16;2019-04-14;"2019";232430;302204
