Date,Pinheiros,Ibirapuera
18 de maio de 2018,666,681
19 de maio de 2018,1763,1481
20 de maio de 2018,2229,2067
21 de maio de 2018,2479,2296
22 de maio de 2018,2447,2231
23 de maio de 2018,2702,2367
24 de maio de 2018,2763,2553
25 de maio de 2018,1770,1579
26 de maio de 2018,3209,2795
27 de maio de 2018,3469,3301
28 de maio de 2018,3948,3643
29 de maio de 2018,3377,3067
30 de maio de 2018,3167,2805
31 de maio de 2018,2096,1863
1 de junho de 2018,1466,1387
2 de junho de 2018,707,666
3 de junho de 2018,2272,2049
4 de junho de 2018,2415,2170
5 de junho de 2018,2545,2294
6 de junho de 2018,1987,1755
7 de junho de 2018,2379,2107
8 de junho de 2018,1082,995
9 de junho de 2018,1989,1844
10 de junho de 2018,2791,2564
11 de junho de 2018,2749,2649
12 de junho de 2018,2263,2307
13 de junho de 2018,2029,1976
14 de junho de 2018,2089,1991
15 de junho de 2018,721,645
16 de junho de 2018,893,761
17 de junho de 2018,2469,2112
18 de junho de 2018,2784,2546
19 de junho de 2018,2844,2586
20 de junho de 2018,2743,2477
21 de junho de 2018,2317,2062
22 de junho de 2018,1266,1163
23 de junho de 2018,2265,2155
24 de junho de 2018,2716,2385
25 de junho de 2018,2957,2716
26 de junho de 2018,2904,2589
27 de junho de 2018,2649,2432
28 de junho de 2018,2637,2360
29 de junho de 2018,1123,997
30 de junho de 2018,2192,2005
1 de julho de 2018,2481,2262
2 de julho de 2018,2622,2541
3 de julho de 2018,2627,2489
4 de julho de 2018,2652,2448
5 de julho de 2018,2624,2168
6 de julho de 2018,1095,999
7 de julho de 2018,2602,2373
8 de julho de 2018,2056,1884
9 de julho de 2018,2080,1826
10 de julho de 2018,1945,1886
11 de julho de 2018,2153,1997
12 de julho de 2018,2102,1926
13 de julho de 2018,1387,1252
14 de julho de 2018,1971,1861
15 de julho de 2018,2657,2328
16 de julho de 2018,2907,2637
17 de julho de 2018,2816,2616
18 de julho de 2018,2773,2508
19 de julho de 2018,2605,2318
20 de julho de 2018,1356,1273
21 de julho de 2018,1628,1542
22 de julho de 2018,2729,2504
23 de julho de 2018,2575,2579
24 de julho de 2018,2602,2529
25 de julho de 2018,2711,2492
26 de julho de 2018,2717,2525
27 de julho de 2018,1668,1569
28 de julho de 2018,2659,2398
29 de julho de 2018,2492,2381
30 de julho de 2018,1809,1415
31 de julho de 2018,1595,1594
1 de agosto de 2018,2426,2103
2 de agosto de 2018,1066,1173
3 de agosto de 2018,1113,1058
4 de agosto de 2018,1272,1265
5 de agosto de 2018,1380,1144
6 de agosto de 2018,2731,2364
7 de agosto de 2018,3009,2848
8 de agosto de 2018,2841,2606
9 de agosto de 2018,3011,2692
10 de agosto de 2018,1530,1410
11 de agosto de 2018,1363,1316
12 de agosto de 2018,2882,2527
13 de agosto de 2018,3392,3014
14 de agosto de 2018,2972,2813
15 de agosto de 2018,2591,2382
16 de agosto de 2018,2754,2528
17 de agosto de 2018,1563,1387
18 de agosto de 2018,2719,2627
19 de agosto de 2018,3573,3078
20 de agosto de 2018,3692,3345
21 de agosto de 2018,3305,3141
22 de agosto de 2018,3509,3159
23 de agosto de 2018,3373,3111
24 de agosto de 2018,1259,1190
25 de agosto de 2018,966,892
26 de agosto de 2018,2872,2524
27 de agosto de 2018,3516,3166
28 de agosto de 2018,3582,3471
29 de agosto de 2018,3728,3377
30 de agosto de 2018,3624,3256
31 de agosto de 2018,1678,1708
1 de setembro de 2018,2746,2694
2 de setembro de 2018,2961,2875
3 de setembro de 2018,2492,2510
4 de setembro de 2018,3100,2818
5 de setembro de 2018,3381,3150
6 de setembro de 2018,2406,2165
7 de setembro de 2018,1515,1474
8 de setembro de 2018,2277,2259
9 de setembro de 2018,3317,2890
10 de setembro de 2018,3620,3460
11 de setembro de 2018,3548,3291
12 de setembro de 2018,3530,3303
13 de setembro de 2018,1538,1533
14 de setembro de 2018,1152,1142
15 de setembro de 2018,2393,2256
16 de setembro de 2018,2454,1847
17 de setembro de 2018,3916,3585
18 de setembro de 2018,4197,3777
19 de setembro de 2018,2738,2860
20 de setembro de 2018,3396,3180
21 de setembro de 2018,1987,1875
22 de setembro de 2018,2962,2941
23 de setembro de 2018,3742,3353
24 de setembro de 2018,4112,3773
25 de setembro de 2018,3707,3484
26 de setembro de 2018,3293,3163
27 de setembro de 2018,3140,3061
28 de setembro de 2018,1778,1467
29 de setembro de 2018,2228,1943
30 de setembro de 2018,3088,2592
1 de outubro de 2018,3999,3668
2 de outubro de 2018,3277,3381
3 de outubro de 2018,3590,3534
4 de outubro de 2018,3241,3053
5 de outubro de 2018,1021,979
6 de outubro de 2018,930,873
7 de outubro de 2018,2455,2128
8 de outubro de 2018,3683,3311
9 de outubro de 2018,3116,2686
10 de outubro de 2018,2503,2398
11 de outubro de 2018,2159,1998
12 de outubro de 2018,1465,1371
13 de outubro de 2018,1754,1550
14 de outubro de 2018,2611,2103
15 de outubro de 2018,3538,3187
16 de outubro de 2018,3272,3188
17 de outubro de 2018,3283,3099
18 de outubro de 2018,2683,2809
19 de outubro de 2018,1679,1590
20 de outubro de 2018,2304,2105
21 de outubro de 2018,3489,3207
22 de outubro de 2018,3600,3662
23 de outubro de 2018,2281,1723
24 de outubro de 2018,2361,1872
25 de outubro de 2018,3194,2942
26 de outubro de 2018,1246,1180
27 de outubro de 2018,1447,1338
28 de outubro de 2018,3344,3158
29 de outubro de 2018,3836,3708
30 de outubro de 2018,2881,3197
31 de outubro de 2018,3691,3293
1 de novembro de 2018,2480,2304
2 de novembro de 2018,1863,1710
3 de novembro de 2018,1782,1623
4 de novembro de 2018,3262,3044
5 de novembro de 2018,3575,3488
6 de novembro de 2018,3312,3178
7 de novembro de 2018,3118,2898
8 de novembro de 2018,3387,3226
9 de novembro de 2018,1413,1366
10 de novembro de 2018,2805,2576
11 de novembro de 2018,3625,3311
12 de novembro de 2018,3870,3581
13 de novembro de 2018,3706,3444
14 de novembro de 2018,1889,1738
15 de novembro de 2018,2323,2117
16 de novembro de 2018,2085,1915
17 de novembro de 2018,2231,2097
18 de novembro de 2018,585,549
19 de novembro de 2018,1822,1696
20 de novembro de 2018,3875,3276
21 de novembro de 2018,4301,3753
22 de novembro de 2018,4085,3623
23 de novembro de 2018,1582,1408
24 de novembro de 2018,1772,1647
25 de novembro de 2018,4199,3526
26 de novembro de 2018,4616,3968
27 de novembro de 2018,4558,3986
28 de novembro de 2018,3873,3715
29 de novembro de 2018,3642,3399
30 de novembro de 2018,1531,1352
1 de dezembro de 2018,2639,2579
2 de dezembro de 2018,3723,3009
3 de dezembro de 2018,4794,4142
4 de dezembro de 2018,4484,3926
5 de dezembro de 2018,4413,3912
6 de dezembro de 2018,3947,3579
7 de dezembro de 2018,1523,1463
8 de dezembro de 2018,3270,2976
9 de dezembro de 2018,4320,3825
10 de dezembro de 2018,4537,4272
11 de dezembro de 2018,4493,4082
12 de dezembro de 2018,4069,3636
13 de dezembro de 2018,4343,3885
14 de dezembro de 2018,1975,1780
15 de dezembro de 2018,2596,2324
16 de dezembro de 2018,4110,3527
17 de dezembro de 2018,4068,3494
18 de dezembro de 2018,3891,3565
19 de dezembro de 2018,4179,3688
20 de dezembro de 2018,3650,3230
21 de dezembro de 2018,1638,1577
22 de dezembro de 2018,1862,1793
23 de dezembro de 2018,842,798
24 de dezembro de 2018,856,823
25 de dezembro de 2018,2648,2257
26 de dezembro de 2018,2732,2371
27 de dezembro de 2018,2214,1943
28 de dezembro de 2018,1617,1424
29 de dezembro de 2018,2094,1992
30 de dezembro de 2018,964,896
31 de dezembro de 2018,769,700
1 de janeiro de 2019,2294,1856
2 de janeiro de 2019,2485,2137
3 de janeiro de 2019,1801,1944
4 de janeiro de 2019,932,777
5 de janeiro de 2019,2919,2794
6 de janeiro de 2019,3588,3097
7 de janeiro de 2019,3365,3160
8 de janeiro de 2019,3940,3389
9 de janeiro de 2019,3766,3364
10 de janeiro de 2019,3378,2960
11 de janeiro de 2019,2384,2119
12 de janeiro de 2019,3219,2892
13 de janeiro de 2019,3698,3256
14 de janeiro de 2019,4275,3855
15 de janeiro de 2019,3924,3478
16 de janeiro de 2019,3259,3246
17 de janeiro de 2019,3911,3377
18 de janeiro de 2019,2184,1966
19 de janeiro de 2019,3154,2820
20 de janeiro de 2019,3886,3352
21 de janeiro de 2019,3806,3378
22 de janeiro de 2019,4095,3594
23 de janeiro de 2019,3899,3301
24 de janeiro de 2019,1841,1659
25 de janeiro de 2019,1898,1704
26 de janeiro de 2019,3265,2994
27 de janeiro de 2019,3997,3368
28 de janeiro de 2019,4153,3814
29 de janeiro de 2019,3999,3643
30 de janeiro de 2019,4204,3757
31 de janeiro de 2019,4155,3461
1 de fevereiro de 2019,2097,1870
2 de fevereiro de 2019,3165,2895
3 de fevereiro de 2019,2585,1845
4 de fevereiro de 2019,4013,3623
5 de fevereiro de 2019,1726,1162
6 de fevereiro de 2019,4125,3646
7 de fevereiro de 2019,4254,3624
8 de fevereiro de 2019,2307,2049
9 de fevereiro de 2019,3520,3123
10 de fevereiro de 2019,4272,3664
11 de fevereiro de 2019,3228,3330
12 de fevereiro de 2019,3096,2465
13 de fevereiro de 2019,4151,3739
14 de fevereiro de 2019,2946,2858
15 de fevereiro de 2019,716,581
16 de fevereiro de 2019,2302,2076
17 de fevereiro de 2019,4082,3596
18 de fevereiro de 2019,4188,4103
19 de fevereiro de 2019,3858,3715
20 de fevereiro de 2019,2955,3240
21 de fevereiro de 2019,1613,2820
22 de fevereiro de 2019,1078,821
23 de fevereiro de 2019,1646,1240
24 de fevereiro de 2019,3431,3003
25 de fevereiro de 2019,2538,1726
26 de fevereiro de 2019,3780,3411
27 de fevereiro de 2019,2092,1601
28 de fevereiro de 2019,2760,2423
1 de março de 2019,735,578
2 de março de 2019,1425,900
3 de março de 2019,1065,995
4 de março de 2019,1425,1341
5 de março de 2019,2033,1946
6 de março de 2019,3061,3061
7 de março de 2019,3873,3482
8 de março de 2019,1261,1235
9 de março de 2019,1983,1754
10 de março de 2019,2973,2637
11 de março de 2019,3602,3678
12 de março de 2019,4133,3732
13 de março de 2019,3357,3372
14 de março de 2019,3610,3234
15 de março de 2019,1840,1745
16 de março de 2019,2056,1993
17 de março de 2019,3816,3543
18 de março de 2019,3653,3558
19 de março de 2019,4101,3637
20 de março de 2019,2378,1975
21 de março de 2019,3861,3306
22 de março de 2019,2142,1929
23 de março de 2019,3092,2895
24 de março de 2019,4153,3602
25 de março de 2019,4458,3904
26 de março de 2019,4182,3897
27 de março de 2019,3926,3528
28 de março de 2019,4147,3611
29 de março de 2019,2015,1766
30 de março de 2019,3052,2760
31 de março de 2019,3992,3662
1 de abril de 2019,4365,4164
2 de abril de 2019,4339,3990
3 de abril de 2019,4468,4122
4 de abril de 2019,4239,3935
5 de abril de 2019,1372,1378
6 de abril de 2019,2035,1804
7 de abril de 2019,1034,1264
8 de abril de 2019,2020,1829
9 de abril de 2019,3638,3330
10 de abril de 2019,4182,3771
11 de abril de 2019,3989,3701
12 de abril de 2019,2202,1913
13 de abril de 2019,778,694
14 de abril de 2019,3972,3613
15 de abril de 2019,3937,3744
16 de abril de 2019,4136,3717
17 de abril de 2019,4200,3777
18 de abril de 2019,2507,2333
19 de abril de 2019,2092,1890
20 de abril de 2019,2080,1849
21 de abril de 2019,3681,3578
22 de abril de 2019,3848,3825
23 de abril de 2019,4246,4022
24 de abril de 2019,4113,3729
25 de abril de 2019,4088,3570
26 de abril de 2019,2228,1955
27 de abril de 2019,2563,2386
28 de abril de 2019,3880,3531
29 de abril de 2019,4258,3866
30 de abril de 2019,3475,3248
1 de maio de 2019,4080,3812
2 de maio de 2019,4151,3777
3 de maio de 2019,2196,2035
4 de maio de 2019,3048,2630
5 de maio de 2019,4072,3618
6 de maio de 2019,3610,3582
7 de maio de 2019,3950,3681
8 de maio de 2019,3918,3740
9 de maio de 2019,3971,3753
10 de maio de 2019,1813,1656
11 de maio de 2019,1662,1493
12 de maio de 2019,3883,3534
13 de maio de 2019,3609,3707
14 de maio de 2019,3722,3463
15 de maio de 2019,2828,2703
16 de maio de 2019,2594,1936
17 de maio de 2019,814,673
18 de maio de 2019,2225,1986
19 de maio de 2019,3596,3456
20 de maio de 2019,4024,3701
21 de maio de 2019,3945,3795
22 de maio de 2019,4007,3761
23 de maio de 2019,2725,2427
24 de maio de 2019,1659,1476
25 de maio de 2019,2501,2288
26 de maio de 2019,3713,3451
27 de maio de 2019,4026,3877
28 de maio de 2019,3697,3478
29 de maio de 2019,3268,3407
30 de maio de 2019,3550,3320
31 de maio de 2019,1153,1031
1 de junho de 2019,432,414
2 de junho de 2019,1996,1399
3 de junho de 2019,2964,3084
4 de junho de 2019,2639,2460
5 de junho de 2019,3427,3340
6 de junho de 2019,3580,3295
7 de junho de 2019,1476,1452
8 de junho de 2019,2203,2023
9 de junho de 2019,3407,3342
10 de junho de 2019,3660,3519
11 de junho de 2019,3781,3641
12 de junho de 2019,3730,3667
13 de junho de 2019,3518,3434
14 de junho de 2019,1760,1677
15 de junho de 2019,2611,2612
16 de junho de 2019,3717,3441
17 de junho de 2019,3764,3697
18 de junho de 2019,3739,3618
19 de junho de 2019,2271,2258
20 de junho de 2019,2161,2033
21 de junho de 2019,1660,1649
22 de junho de 2019,2552,2408
23 de junho de 2019,3660,3375
24 de junho de 2019,3966,3730
25 de junho de 2019,3963,3693
26 de junho de 2019,3725,3568
27 de junho de 2019,3751,3492
28 de junho de 2019,1794,1729
29 de junho de 2019,2733,2601
30 de junho de 2019,3582,3483
1 de julho de 2019,3848,3656
2 de julho de 2019,3816,3470
3 de julho de 2019,630,631
4 de julho de 2019,1638,1283
5 de julho de 2019,1058,1016
6 de julho de 2019,977,886
7 de julho de 2019,1860,1782
8 de julho de 2019,2164,1930
9 de julho de 2019,2971,2907
10 de julho de 2019,3311,3100
11 de julho de 2019,3119,2974
12 de julho de 2019,1616,1630
13 de julho de 2019,2491,2431
14 de julho de 2019,3241,3077
15 de julho de 2019,2733,2715
16 de julho de 2019,2775,2724
17 de julho de 2019,3074,3029
18 de julho de 2019,3065,2853
19 de julho de 2019,1655,1580
20 de julho de 2019,2432,2383
21 de julho de 2019,3192,3036
22 de julho de 2019,3514,3516
23 de julho de 2019,3538,3467
24 de julho de 2019,3411,3318
25 de julho de 2019,3378,3233
26 de julho de 2019,1905,1937
27 de julho de 2019,2261,2280
28 de julho de 2019,3551,3266
29 de julho de 2019,3381,3471
30 de julho de 2019,3743,3634
31 de julho de 2019,3904,3670
1 de agosto de 2019,3249,3283
2 de agosto de 2019,816,737
3 de agosto de 2019,872,817
4 de agosto de 2019,2929,2875
5 de agosto de 2019,3689,3580
6 de agosto de 2019,3855,3832
7 de agosto de 2019,4044,3838
8 de agosto de 2019,3910,3470
9 de agosto de 2019,1815,1715
10 de agosto de 2019,1798,1709
11 de agosto de 2019,3851,3697
12 de agosto de 2019,3362,3560
13 de agosto de 2019,2746,2666
14 de agosto de 2019,3856,3585
15 de agosto de 2019,3808,3500
16 de agosto de 2019,1890,1811
17 de agosto de 2019,2658,2603
18 de agosto de 2019,2451,2587
19 de agosto de 2019,3141,2906
20 de agosto de 2019,3476,3417
21 de agosto de 2019,3662,3445
22 de agosto de 2019,3468,3231
23 de agosto de 2019,1279,1219
24 de agosto de 2019,2017,1872
25 de agosto de 2019,3664,3530
26 de agosto de 2019,3912,3883
27 de agosto de 2019,3898,3704
28 de agosto de 2019,4102,3973
29 de agosto de 2019,3978,3836
30 de agosto de 2019,1708,1788
31 de agosto de 2019,961,861
1 de setembro de 2019,2664,2435
2 de setembro de 2019,2578,2992
3 de setembro de 2019,3107,3110
4 de setembro de 2019,2640,2466
5 de setembro de 2019,3043,3121
6 de setembro de 2019,1916,1747
7 de setembro de 2019,2761,2605
8 de setembro de 2019,4024,3636
9 de setembro de 2019,4273,4075
10 de setembro de 2019,4060,4022
11 de setembro de 2019,4081,4020
12 de setembro de 2019,3655,3406
13 de setembro de 2019,1775,1672
14 de setembro de 2019,2661,2566
15 de setembro de 2019,3891,3653
16 de setembro de 2019,4346,4183
17 de setembro de 2019,4246,3967
18 de setembro de 2019,3899,3896
19 de setembro de 2019,3611,3279
20 de setembro de 2019,1411,1364
21 de setembro de 2019,1228,1148
22 de setembro de 2019,2996,2898
23 de setembro de 2019,3792,3793
24 de setembro de 2019,3069,3255
25 de setembro de 2019,3482,3385
26 de setembro de 2019,3537,3407
27 de setembro de 2019,1335,1324
28 de setembro de 2019,2514,2533
29 de setembro de 2019,3697,3692
30 de setembro de 2019,4101,3955
1 de outubro de 2019,3994,3977
2 de outubro de 2019,3986,3996
3 de outubro de 2019,3813,3716
4 de outubro de 2019,1670,1605
5 de outubro de 2019,2127,2030
6 de outubro de 2019,2948,3299
7 de outubro de 2019,2515,3002
8 de outubro de 2019,3346,3122
9 de outubro de 2019,3917,3794
10 de outubro de 2019,3850,3572
11 de outubro de 2019,1848,1678
12 de outubro de 2019,2378,2201
13 de outubro de 2019,3551,3589
14 de outubro de 2019,3736,3728
15 de outubro de 2019,3672,3737
16 de outubro de 2019,3696,3768
17 de outubro de 2019,3320,3370
18 de outubro de 2019,1589,1532
19 de outubro de 2019,1728,1617
20 de outubro de 2019,3175,3227
21 de outubro de 2019,3867,3919
22 de outubro de 2019,3707,3849
23 de outubro de 2019,3745,3930
24 de outubro de 2019,3697,3736
25 de outubro de 2019,1617,1577
26 de outubro de 2019,2574,2411
27 de outubro de 2019,3519,3352
28 de outubro de 2019,3954,3976
29 de outubro de 2019,3862,3792
30 de outubro de 2019,3543,3807
31 de outubro de 2019,3573,3621
1 de novembro de 2019,1774,1731
2 de novembro de 2019,2262,2247
3 de novembro de 2019,3537,3581
4 de novembro de 2019,2171,3340
5 de novembro de 2019,3128,2993
6 de novembro de 2019,3229,3348
7 de novembro de 2019,3118,3238
8 de novembro de 2019,1587,1473
9 de novembro de 2019,1722,1655
10 de novembro de 2019,3283,3306
11 de novembro de 2019,3739,3715
12 de novembro de 2019,3466,3634
13 de novembro de 2019,2592,2508
14 de novembro de 2019,713,604
15 de novembro de 2019,1653,1515
16 de novembro de 2019,2424,2289
17 de novembro de 2019,3224,3231
18 de novembro de 2019,3387,3587
19 de novembro de 2019,2270,2236
20 de novembro de 2019,3556,3666
21 de novembro de 2019,3489,3330
22 de novembro de 2019,1403,1287
23 de novembro de 2019,1656,1462
24 de novembro de 2019,3506,3512
25 de novembro de 2019,3678,3807
26 de novembro de 2019,2337,3141
27 de novembro de 2019,2223,1915
28 de novembro de 2019,3622,3605
29 de novembro de 2019,1635,1542
30 de novembro de 2019,1933,1791
1 de dezembro de 2019,2854,2806
2 de dezembro de 2019,3548,3802
3 de dezembro de 2019,3412,3481
4 de dezembro de 2019,2842,3173
5 de dezembro de 2019,3098,3045
6 de dezembro de 2019,1670,1695
7 de dezembro de 2019,2344,2242
8 de dezembro de 2019,3059,3353
9 de dezembro de 2019,2500,3014
10 de dezembro de 2019,2093,2908
11 de dezembro de 2019,3687,3507
12 de dezembro de 2019,3200,3155
13 de dezembro de 2019,1335,1248
14 de dezembro de 2019,2176,2076
15 de dezembro de 2019,3579,3491
16 de dezembro de 2019,3339,3475
17 de dezembro de 2019,2474,2311
18 de dezembro de 2019,3254,3264
19 de dezembro de 2019,3126,3074
20 de dezembro de 2019,1473,1379
21 de dezembro de 2019,1784,1638
22 de dezembro de 2019,1201,1586
23 de dezembro de 2019,1248,1210
24 de dezembro de 2019,852,784
25 de dezembro de 2019,2185,2176
26 de dezembro de 2019,1901,2039
27 de dezembro de 2019,1316,1259
28 de dezembro de 2019,1759,1667
29 de dezembro de 2019,1252,1274
30 de dezembro de 2019,844,735
31 de dezembro de 2019,606,568
1 de janeiro de 2020,985,1192
2 de janeiro de 2020,1498,1496
3 de janeiro de 2020,917,893
4 de janeiro de 2020,1658,1528
5 de janeiro de 2020,2835,2940
6 de janeiro de 2020,3062,3078
7 de janeiro de 2020,2212,2726
8 de janeiro de 2020,2633,2947
9 de janeiro de 2020,3004,3005
10 de janeiro de 2020,1552,1498
11 de janeiro de 2020,1578,1557
12 de janeiro de 2020,2591,2800
13 de janeiro de 2020,3231,3259
14 de janeiro de 2020,3359,3307
15 de janeiro de 2020,2668,2767
16 de janeiro de 2020,2293,2332
17 de janeiro de 2020,1531,1454
18 de janeiro de 2020,1979,1886
19 de janeiro de 2020,3064,3098
20 de janeiro de 2020,3452,3434
21 de janeiro de 2020,2935,3262
22 de janeiro de 2020,2308,2326
23 de janeiro de 2020,2073,1808
24 de janeiro de 2020,1783,1643
25 de janeiro de 2020,2489,2353
26 de janeiro de 2020,3183,3113
27 de janeiro de 2020,2921,3326
28 de janeiro de 2020,3401,3520
29 de janeiro de 2020,1656,2881
30 de janeiro de 2020,2990,2967
31 de janeiro de 2020,1089,1021
1 de fevereiro de 2020,1458,1392
2 de fevereiro de 2020,1342,1691
3 de fevereiro de 2020,2770,2749
4 de fevereiro de 2020,2824,2983
5 de fevereiro de 2020,3031,3187
6 de fevereiro de 2020,3152,3182
7 de fevereiro de 2020,1566,1500
8 de fevereiro de 2020,2184,2026
9 de fevereiro de 2020,1170,888
10 de fevereiro de 2020,2388,2012
11 de fevereiro de 2020,2681,2748
12 de fevereiro de 2020,3347,3235
13 de fevereiro de 2020,3455,3403
14 de fevereiro de 2020,1528,1306
15 de fevereiro de 2020,1702,1550
16 de fevereiro de 2020,3333,3373
17 de fevereiro de 2020,3222,3452
18 de fevereiro de 2020,2713,3211
19 de fevereiro de 2020,3084,3267
20 de fevereiro de 2020,2436,2445
21 de fevereiro de 2020,804,647
22 de fevereiro de 2020,1152,1071
23 de fevereiro de 2020,840,829
24 de fevereiro de 2020,1167,1099
25 de fevereiro de 2020,1061,1025
26 de fevereiro de 2020,2072,1885
27 de fevereiro de 2020,2414,2526
28 de fevereiro de 2020,951,855
29 de fevereiro de 2020,1139,1100
1 de março de 2020,1947,2688
2 de março de 2020,2894,2724
3 de março de 2020,3299,3376
4 de março de 2020,3467,3422
5 de março de 2020,3391,3476
6 de março de 2020,1760,1582
7 de março de 2020,1749,1803
8 de março de 2020,3482,3368
9 de março de 2020,3728,3771
10 de março de 2020,3516,3637
11 de março de 2020,3357,3573
12 de março de 2020,3188,3190
13 de março de 2020,1718,1644
14 de março de 2020,2235,2153
15 de março de 2020,2316,2506
16 de março de 2020,1829,1812
17 de março de 2020,1777,1751
18 de março de 2020,1338,1312
19 de março de 2020,1097,1159
20 de março de 2020,1106,995
21 de março de 2020,1544,1452
22 de março de 2020,922,886
23 de março de 2020,1015,930
24 de março de 2020,1114,1019
25 de março de 2020,1211,1142
26 de março de 2020,1300,1229
27 de março de 2020,1679,1588
28 de março de 2020,1458,1329
29 de março de 2020,1036,963
30 de março de 2020,1365,1189
31 de março de 2020,1431,1366
1 de abril de 2020,1419,1299
2 de abril de 2020,1168,1043
3 de abril de 2020,2159,2011
4 de abril de 2020,2263,2068
5 de abril de 2020,1241,1123
6 de abril de 2020,961,864
7 de abril de 2020,1065,966
8 de abril de 2020,1408,1308
9 de abril de 2020,1854,1595
10 de abril de 2020,1698,1524
11 de abril de 2020,1620,1463
12 de abril de 2020,1192,1121
13 de abril de 2020,1189,1109
14 de abril de 2020,1338,1274
15 de abril de 2020,1401,1254
16 de abril de 2020,1250,1086
17 de abril de 2020,1833,1717
18 de abril de 2020,2251,2046
19 de abril de 2020,1234,1200
20 de abril de 2020,2421,2250
21 de abril de 2020,1250,1190
22 de abril de 2020,1585,1453
23 de abril de 2020,1295,1199
24 de abril de 2020,2212,2088
25 de abril de 2020,2687,2385
26 de abril de 2020,1373,1294
27 de abril de 2020,1607,1407
28 de abril de 2020,1532,1328
29 de abril de 2020,1441,1200
30 de abril de 2020,2217,1965
1 de maio de 2020,1667,1463
2 de maio de 2020,2172,1882
3 de maio de 2020,1113,991
4 de maio de 2020,1330,1228
5 de maio de 2020,954,848
6 de maio de 2020,619,584
7 de maio de 2020,975,934
8 de maio de 2020,1957,1776
9 de maio de 2020,1657,1442
10 de maio de 2020,1256,1196
11 de maio de 2020,1507,1396
12 de maio de 2020,1282,1220
13 de maio de 2020,873,816
14 de maio de 2020,1016,928
15 de maio de 2020,2343,2056
16 de maio de 2020,2541,2242
17 de maio de 2020,1128,1089
18 de maio de 2020,1334,1273
19 de maio de 2020,1663,1501
20 de maio de 2020,1670,1576
21 de maio de 2020,1342,1229
22 de maio de 2020,1199,1095
23 de maio de 2020,1542,1363
24 de maio de 2020,1411,1245
25 de maio de 2020,1106,1098
26 de maio de 2020,1235,1177
27 de maio de 2020,1254,1145
28 de maio de 2020,1156,1177
29 de maio de 2020,2155,2042
30 de maio de 2020,2635,2468
31 de maio de 2020,1145,1118
1 de junho de 2020,605,582
2 de junho de 2020,1136,1002
3 de junho de 2020,995,909
4 de junho de 2020,994,880
5 de junho de 2020,1997,1788
6 de junho de 2020,2937,2472
7 de junho de 2020,1277,1207
8 de junho de 2020,1432,1318
9 de junho de 2020,1424,1269
10 de junho de 2020,2084,1891
11 de junho de 2020,1531,1354
12 de junho de 2020,2804,2527
13 de junho de 2020,1254,1082
14 de junho de 2020,1164,1089
15 de junho de 2020,1563,1414
16 de junho de 2020,1624,1487
17 de junho de 2020,1741,1544
18 de junho de 2020,1590,1517
19 de junho de 2020,2904,2603
20 de junho de 2020,3215,3099
21 de junho de 2020,1494,1360
22 de junho de 2020,1808,1641
23 de junho de 2020,1748,1541
24 de junho de 2020,1710,1570
25 de junho de 2020,1015,870
26 de junho de 2020,427,378
27 de junho de 2020,1834,1673
28 de junho de 2020,1435,1259
29 de junho de 2020,1642,1535
30 de junho de 2020,1117,1084
1 de julho de 2020,1592,1560
2 de julho de 2020,1399,1298
3 de julho de 2020,2592,2344
4 de julho de 2020,3145,2792
5 de julho de 2020,1511,1388
6 de julho de 2020,1827,1749
7 de julho de 2020,1869,1791
8 de julho de 2020,1789,1627
9 de julho de 2020,1596,1463
10 de julho de 2020,2771,2440
11 de julho de 2020,3521,3170
12 de julho de 2020,1583,1516
13 de julho de 2020,1375,1239
14 de julho de 2020,1287,1168
15 de julho de 2020,1566,1409
16 de julho de 2020,1480,1383
17 de julho de 2020,2635,2500
18 de julho de 2020,3838,3495
19 de julho de 2020,1596,1482
20 de julho de 2020,1902,1749
21 de julho de 2020,1784,1707
22 de julho de 2020,1869,1738
23 de julho de 2020,1702,1565
24 de julho de 2020,2933,2676
25 de julho de 2020,3174,2788
26 de julho de 2020,1565,1433
27 de julho de 2020,2022,1858
28 de julho de 2020,1207,1130
29 de julho de 2020,1036,987
30 de julho de 2020,1325,1219
31 de julho de 2020,2569,2303
1 de agosto de 2020,3834,3508
2 de agosto de 2020,1439,1435
3 de agosto de 2020,1815,1630
4 de agosto de 2020,1694,1606
5 de agosto de 2020,1662,1639
6 de agosto de 2020,1630,1556
7 de agosto de 2020,2730,2532
8 de agosto de 2020,2944,2623
9 de agosto de 2020,1659,1505
10 de agosto de 2020,1977,1883
11 de agosto de 2020,1757,1622
12 de agosto de 2020,1553,1482
14 de agosto de 2020,,
