Date,Pinheiros,Ibirapuera
29 de agosto de 2016,1652,1536
30 de agosto de 2016,560,472
31 de agosto de 2016,1434,1274
1 de setembro de 2016,1213,1068
2 de setembro de 2016,1005,927
3 de setembro de 2016,1697,1596
4 de setembro de 2016,1353,1239
5 de setembro de 2016,739,653
6 de setembro de 2016,1522,1257
7 de setembro de 2016,1448,1249
8 de setembro de 2016,1190,1092
9 de setembro de 2016,1113,1039
10 de setembro de 2016,2258,2130
11 de setembro de 2016,1480,1305
12 de setembro de 2016,1639,1550
13 de setembro de 2016,1411,1321
14 de setembro de 2016,1516,1349
15 de setembro de 2016,1287,1105
16 de setembro de 2016,1099,1029
17 de setembro de 2016,2077,1851
18 de setembro de 2016,1383,1218
19 de setembro de 2016,1139,1010
20 de setembro de 2016,1147,994
21 de setembro de 2016,1381,1284
22 de setembro de 2016,1383,1243
23 de setembro de 2016,894,787
24 de setembro de 2016,763,743
25 de setembro de 2016,1235,1200
26 de setembro de 2016,1538,1413
27 de setembro de 2016,1493,1327
28 de setembro de 2016,1445,1254
29 de setembro de 2016,1277,1130
30 de setembro de 2016,869,815
1 de outubro de 2016,1657,1464
2 de outubro de 2016,619,587
3 de outubro de 2016,1115,997
4 de outubro de 2016,1400,1247
5 de outubro de 2016,1235,1061
6 de outubro de 2016,1210,1092
7 de outubro de 2016,1307,1166
8 de outubro de 2016,2186,2030
9 de outubro de 2016,1296,1197
10 de outubro de 2016,1248,1156
11 de outubro de 2016,2439,2163
12 de outubro de 2016,896,889
13 de outubro de 2016,1078,976
14 de outubro de 2016,1133,1038
15 de outubro de 2016,2298,2126
16 de outubro de 2016,1388,1233
17 de outubro de 2016,1788,1563
18 de outubro de 2016,1593,1466
19 de outubro de 2016,1009,944
20 de outubro de 2016,1044,919
21 de outubro de 2016,739,744
22 de outubro de 2016,2298,2059
23 de outubro de 2016,1410,1228
24 de outubro de 2016,843,814
25 de outubro de 2016,1498,1448
26 de outubro de 2016,1276,1149
27 de outubro de 2016,1358,1254
28 de outubro de 2016,1153,1002
29 de outubro de 2016,2164,1965
30 de outubro de 2016,1585,1433
31 de outubro de 2016,1672,1474
1 de novembro de 2016,2570,2256
2 de novembro de 2016,709,641
3 de novembro de 2016,977,889
4 de novembro de 2016,906,845
5 de novembro de 2016,1969,1730
6 de novembro de 2016,1507,1352
7 de novembro de 2016,1748,1595
8 de novembro de 2016,1107,1106
9 de novembro de 2016,1349,1159
10 de novembro de 2016,1392,1219
11 de novembro de 2016,587,542
12 de novembro de 2016,95,87
13 de novembro de 2016,510,432
14 de novembro de 2016,1059,959
15 de novembro de 2016,1226,1103
16 de novembro de 2016,1238,1102
17 de novembro de 2016,1062,921
18 de novembro de 2016,820,783
19 de novembro de 2016,2329,2044
20 de novembro de 2016,1573,1407
21 de novembro de 2016,1583,1427
22 de novembro de 2016,1130,1009
23 de novembro de 2016,1553,1395
24 de novembro de 2016,1400,1211
25 de novembro de 2016,1126,1078
26 de novembro de 2016,2174,2017
27 de novembro de 2016,1367,1219
28 de novembro de 2016,1143,1007
29 de novembro de 2016,1084,967
30 de novembro de 2016,1401,1208
1 de dezembro de 2016,1376,1229
2 de dezembro de 2016,882,780
3 de dezembro de 2016,1729,1611
4 de dezembro de 2016,1512,1382
5 de dezembro de 2016,1749,1575
6 de dezembro de 2016,1403,1324
7 de dezembro de 2016,1508,1357
8 de dezembro de 2016,1368,1201
9 de dezembro de 2016,904,878
10 de dezembro de 2016,1157,966
11 de dezembro de 2016,1019,933
12 de dezembro de 2016,1631,1437
13 de dezembro de 2016,1325,1245
14 de dezembro de 2016,1126,978
15 de dezembro de 2016,1277,1112
16 de dezembro de 2016,1073,922
17 de dezembro de 2016,1796,1655
18 de dezembro de 2016,1180,1021
19 de dezembro de 2016,1354,1201
20 de dezembro de 2016,1061,996
21 de dezembro de 2016,1273,1097
22 de dezembro de 2016,994,892
23 de dezembro de 2016,821,776
24 de dezembro de 2016,872,771
25 de dezembro de 2016,1080,1015
26 de dezembro de 2016,1042,912
27 de dezembro de 2016,903,859
28 de dezembro de 2016,802,720
29 de dezembro de 2016,737,722
30 de dezembro de 2016,554,533
31 de dezembro de 2016,737,627
1 de janeiro de 2017,630,590
2 de janeiro de 2017,1013,896
3 de janeiro de 2017,1261,1132
4 de janeiro de 2017,1294,1171
5 de janeiro de 2017,1006,907
6 de janeiro de 2017,1007,914
7 de janeiro de 2017,2297,2223
8 de janeiro de 2017,1261,1132
9 de janeiro de 2017,1608,1475
