Date,Av. Gastao Vidigal Bicicleta Pinheiros,Av. Gastao Vidigal Bicicleta Marg. Tietê
14 de agosto de 2019,0,0
15 de agosto de 2019,304,359
16 de agosto de 2019,372,396
17 de agosto de 2019,595,610
18 de agosto de 2019,221,185
19 de agosto de 2019,265,251
20 de agosto de 2019,319,311
21 de agosto de 2019,289,286
22 de agosto de 2019,305,287
23 de agosto de 2019,209,191
24 de agosto de 2019,488,439
25 de agosto de 2019,338,344
26 de agosto de 2019,384,386
27 de agosto de 2019,329,330
28 de agosto de 2019,370,370
29 de agosto de 2019,381,372
30 de agosto de 2019,349,338
31 de agosto de 2019,175,141
1 de setembro de 2019,185,163
2 de setembro de 2019,263,223
3 de setembro de 2019,264,267
4 de setembro de 2019,217,216
5 de setembro de 2019,261,227
6 de setembro de 2019,386,357
7 de setembro de 2019,555,553
8 de setembro de 2019,372,399
9 de setembro de 2019,440,398
10 de setembro de 2019,388,395
11 de setembro de 2019,394,381
12 de setembro de 2019,323,326
13 de setembro de 2019,376,356
14 de setembro de 2019,588,519
15 de setembro de 2019,372,362
16 de setembro de 2019,417,441
17 de setembro de 2019,405,412
18 de setembro de 2019,417,369
19 de setembro de 2019,316,289
20 de setembro de 2019,263,228
21 de setembro de 2019,303,255
22 de setembro de 2019,254,252
23 de setembro de 2019,369,327
24 de setembro de 2019,277,263
25 de setembro de 2019,287,225
26 de setembro de 2019,370,336
27 de setembro de 2019,276,261
28 de setembro de 2019,572,494
29 de setembro de 2019,378,321
30 de setembro de 2019,450,446
1 de outubro de 2019,410,396
2 de outubro de 2019,405,411
3 de outubro de 2019,346,339
4 de outubro de 2019,352,336
5 de outubro de 2019,523,518
6 de outubro de 2019,297,284
7 de outubro de 2019,292,241
8 de outubro de 2019,271,295
9 de outubro de 2019,375,386
10 de outubro de 2019,328,368
11 de outubro de 2019,393,392
12 de outubro de 2019,462,433
13 de outubro de 2019,347,357
14 de outubro de 2019,337,360
15 de outubro de 2019,378,327
16 de outubro de 2019,405,375
17 de outubro de 2019,294,306
18 de outubro de 2019,350,325
19 de outubro de 2019,346,313
