"estimate","lower","upper","onset_date","n.reported"
38,38,38,2020-04-29,38
60,60,60,2020-04-30,60
60,60,60,2020-05-01,60
49,49,49,2020-05-02,49
63,63,63,2020-05-03,63
58,58,58,2020-05-04,58
69,69,69,2020-05-05,69
61,61,63,2020-05-06,61
67,67,69,2020-05-07,67
76,76,79,2020-05-08,76
75,75,79,2020-05-09,75
64,63,69,2020-05-10,63
78,77,83,2020-05-11,77
68,66,73,2020-05-12,66
71,68,77,2020-05-13,68
81,77,87,2020-05-14,77
69,65,75,2020-05-15,65
63,59,70,2020-05-16,58
76,71,83,2020-05-17,70
58,53,66,2020-05-18,51
96,90,104,2020-05-19,87
63,57,71,2020-05-20,54
60,54,69,2020-05-21,50
67,60,75,2020-05-22,56
52,46,61,2020-05-23,41
59,52,68,2020-05-24,47
65,58,74,2020-05-25,52
47,40,56,2020-05-26,34
48,40,56,2020-05-27,34
54,47,64,2020-05-28,40
50,42,59,2020-05-29,35
45,38,55,2020-05-30,30
41,33,50,2020-05-31,25
43,35,53,2020-06-01,26
44,35,54,2020-06-02,25
43,34,54,2020-06-03,22
58,48,70,2020-06-04,33
42,31,55,2020-06-05,15
49,37,64,2020-06-06,19
44,29,61,2020-06-07,6
