"estimate","lower","upper","onset_date","n.reported"
41,41,41,2020-04-22,41
34,34,36,2020-04-23,34
40,40,43,2020-04-24,40
54,53,57,2020-04-25,53
46,45,50,2020-04-26,45
46,45,51,2020-04-27,45
47,45,51,2020-04-28,45
45,43,49,2020-04-29,43
50,47,54,2020-04-30,47
76,72,81,2020-05-01,72
54,50,59,2020-05-02,50
45,42,51,2020-05-03,41
55,51,61,2020-05-04,50
52,47,58,2020-05-05,46
49,45,56,2020-05-06,43
33,29,39,2020-05-07,27
47,42,54,2020-05-08,40
42,37,49,2020-05-09,34
47,42,55,2020-05-10,39
38,33,46,2020-05-11,30
30,25,38,2020-05-12,22
25,20,33,2020-05-13,17
28,23,36,2020-05-14,19
34,27,42,2020-05-15,23
27,21,35,2020-05-16,16
24,18,33,2020-05-17,13
20,14,29,2020-05-18,9
20,13,29,2020-05-19,8
19,12,28,2020-05-20,6
18,10,28,2020-05-21,4
21,13,33,2020-05-22,6
21,12,33,2020-05-23,4
19,9,32,2020-05-24,NA
26,15,41,2020-05-25,4
25,13,44,2020-05-26,1
29,15,53,2020-05-27,2
35,19,70,2020-05-28,5
31,15,69,2020-05-29,1
30,13,73,2020-05-30,NA
30,13,77,2020-05-31,NA
