"dt_evoluca","n.casos"
2020-01-07,1
2020-03-27,4
2020-03-29,1
2020-04-03,1
2020-04-04,2
2020-04-08,1
2020-04-13,2
2020-04-14,1
2020-04-15,1
2020-04-25,1
2020-05-01,2
2020-05-02,1
2020-05-10,1
2020-05-11,1
2020-05-12,1
2020-05-16,1
2020-05-17,1
2020-05-18,1
2020-05-22,1
2020-05-23,1
2020-05-24,1
2020-05-25,1
2020-05-29,1
2020-05-31,2
2020-06-01,2
2020-06-03,3
2020-06-05,3
2020-06-06,2
2020-06-07,2
2020-06-08,2
2020-06-09,2
2020-06-10,1
2020-06-12,5
2020-06-13,3
2020-06-15,9
2020-06-16,3
2020-06-17,3
2020-06-18,2
2020-06-19,4
2020-06-20,5
2020-06-21,3
2020-06-22,5
2020-06-23,3
2020-06-24,5
2020-06-25,7
2020-06-26,3
2020-06-27,5
2020-06-29,5
2020-06-30,2
2020-07-01,3
2020-07-02,4
2020-07-03,3
2020-07-04,9
2020-07-05,2
2020-07-06,5
2020-07-07,4
2020-07-08,6
2020-07-09,2
2020-07-10,1
2020-07-11,1
2020-07-12,1
2020-07-13,1
2020-07-14,1
2020-07-21,2
